Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:36:43.748,Pigeon,LG,2.298s,51,17,0.333,102,306,0.333,false
2,13:36:45.866,Pigeon,LG,1.608s,36,17,0.472,102,216,0.472,false
3,13:36:48.929,Pigeon,LG,2.206s,49,18,0.367,108,294,0.367,false
4,13:36:51.001,Pigeon,LG,1.563s,35,17,0.486,102,210,0.486,false
5,13:36:53.028,Pigeon,LG,1.332s,30,16,0.533,96,180,0.533,false
6,13:36:56.391,Pigeon,LG,3.135s,47,17,0.362,102,282,0.362,false
7,13:36:58.437,Pigeon,LG,1.238s,28,17,0.607,102,168,0.607,false
8,13:37:01.167,Pigeon,LG,1.84s,41,17,0.415,102,246,0.415,false
9,13:37:03.034,Pigeon,LG,1.239s,28,17,0.607,102,168,0.607,false
10,13:37:05.266,Pigeon,LG,1.424s,32,17,0.531,102,192,0.531,false
11,13:37:07.609,Pigeon,LG,2.065s,31,17,0.548,102,186,0.548,false
12,13:37:10.274,Pigeon,LG,1.56s,35,17,0.486,102,210,0.486,false
13,13:37:13.765,Pigeon,LG,2.483s,55,18,0.327,108,330,0.327,false
14,13:37:15.399,Pigeon,LG,1.24s,28,16,0.571,96,168,0.571,false
15,13:37:17.742,Pigeon,LG,1.745s,39,17,0.436,102,234,0.436,false
16,13:37:20.948,Pigeon,LG,1.793s,40,17,0.425,102,240,0.425,false
17,13:37:22.935,Pigeon,LG,1.471s,33,17,0.515,102,198,0.515,false
18,13:37:25.751,Pigeon,LG,2.021s,45,17,0.378,102,270,0.378,false
19,13:37:28.445,Pigeon,LG,2.252s,50,17,0.34,102,300,0.34,false
20,13:37:29.933,Pigeon,LG,1.059s,24,17,0.708,102,144,0.708,false
21,13:37:32.574,Pigeon,LG,1.748s,39,17,0.436,102,234,0.436,false
22,13:37:36.923,Pigeon,LG,4.115s,77,17,0.221,102,462,0.221,false
23,13:37:40.187,Pigeon,LG,2.898s,64,17,0.266,102,384,0.266,false
24,13:37:44.093,Pigeon,LG,3.633s,66,17,0.258,102,396,0.258,false
25,13:37:47.393,Pigeon,LG,2.251s,50,17,0.34,102,300,0.34,false
26,13:37:50.286,Pigeon,LG,2.391s,53,17,0.321,102,318,0.321,false
27,13:37:53.671,Pigeon,LG,3.112s,48,17,0.354,102,288,0.354,false
28,13:37:57.605,Pigeon,LG,2.53s,56,17,0.304,102,336,0.304,false
29,13:37:59.182,Pigeon,LG,1.103s,25,17,0.68,102,150,0.68,false
30,13:38:02.748,Pigeon,LG,2.711s,60,17,0.283,102,360,0.283,false
31,13:38:04.911,Pigeon,LG,1.793s,40,17,0.425,102,240,0.425,false
32,13:38:09.388,Pigeon,LG,3.724s,82,17,0.207,102,492,0.207,false
33,13:38:11.327,Pigeon,LG,1.472s,33,17,0.515,102,198,0.515,false
34,13:38:14.411,Pigeon,LG,2.807s,35,17,0.486,102,210,0.486,false
35,13:38:15.777,Pigeon,LG,1.089s,23,17,0.739,102,138,0.739,false
36,13:38:19.158,Pigeon,LG,3.107s,43,17,0.395,102,258,0.395,false
37,13:38:22.218,Pigeon,LG,1.652s,37,17,0.459,102,222,0.459,false
38,13:38:25.195,Pigeon,LG,2.699s,43,17,0.395,102,258,0.395,false
39,13:38:27.038,Pigeon,LG,1.287s,29,17,0.586,102,174,0.586,false
40,13:38:29.408,Pigeon,LG,1.609s,36,17,0.472,102,216,0.472,false
41,13:38:32.186,Pigeon,LG,1.884s,42,17,0.405,102,252,0.405,false
42,13:38:35.093,Pigeon,LG,1.38s,31,17,0.548,102,186,0.548,false
43,13:38:36.547,Pigeon,LG,1.056s,24,17,0.708,102,144,0.708,false
44,13:38:39.344,Pigeon,LG,2.524s,36,17,0.472,102,216,0.472,false
45,13:38:42.380,Pigeon,LG,1.56s,35,19,0.543,114,210,0.543,false
46,13:38:44.084,Pigeon,LG,1.426s,32,21,0.656,126,192,0.656,false
47,13:38:45.262,Pigeon,LG,0.927s,17,11,0.647,66,102,0.647,false
48,13:38:46.821,Pigeon,LG,1.149s,26,17,0.654,102,156,0.654,false
49,13:38:51.505,Pigeon,LG,3.709s,70,17,0.243,102,420,0.243,false
50,13:38:53.798,Pigeon,LG,2.022s,45,17,0.378,102,270,0.378,false
51,13:38:56.841,Pigeon,LG,2.206s,49,17,0.347,102,294,0.347,false
52,13:38:58.814,Pigeon,LG,1.608s,36,17,0.472,102,216,0.472,false
53,13:39:02.397,Pigeon,LG,1.793s,40,17,0.425,102,240,0.425,false
54,13:39:03.884,Pigeon,LG,0.966s,22,17,0.773,102,132,0.773,false
55,13:39:06.465,Pigeon,LG,1.472s,33,17,0.515,102,198,0.515,false
56,13:39:09.666,Pigeon,LG,2.437s,54,17,0.315,102,324,0.315,false
57,13:39:12.443,Pigeon,LG,2.296s,51,17,0.333,102,306,0.333,false
58,13:39:15.842,Pigeon,LG,3.125s,39,17,0.436,102,234,0.436,false
59,13:39:18.852,Pigeon,LG,2.732s,57,17,0.298,102,342,0.298,false
60,13:39:22.777,Pigeon,LG,3.676s,44,17,0.386,102,264,0.386,false
61,13:39:24.809,Pigeon,LG,1.608s,36,17,0.472,102,216,0.472,false
62,13:39:26.648,Pigeon,LG,1.378s,31,17,0.548,102,186,0.548,false
63,13:39:28.866,Pigeon,LG,1.468s,33,17,0.515,102,198,0.515,false
64,13:39:32.718,Pigeon,LG,3.573s,48,21,0.438,126,288,0.438,false
65,13:39:34.349,Pigeon,LG,1.38s,31,13,0.419,78,186,0.419,false
66,13:39:36.822,Pigeon,LG,1.974s,44,17,0.386,102,264,0.386,false
67,13:39:39.439,Pigeon,LG,2.339s,40,17,0.425,102,240,0.425,false
68,13:39:41.060,Pigeon,LG,1.103s,25,17,0.68,102,150,0.68,false
69,13:39:43.368,Pigeon,LG,2.033s,30,17,0.567,102,180,0.567,false
70,13:39:45.115,Pigeon,LG,1.471s,30,17,0.567,102,180,0.567,false
71,13:39:47.491,Pigeon,LG,1.975s,44,17,0.386,102,264,0.386,false
72,13:39:49.378,Pigeon,LG,1.517s,34,17,0.5,102,204,0.5,false
73,13:39:52.849,Pigeon,LG,2.757s,61,17,0.279,102,366,0.279,false
74,13:39:55.896,Pigeon,LG,2.783s,39,17,0.436,102,234,0.436,false
75,13:39:57.991,Pigeon,LG,1.699s,38,17,0.447,102,228,0.447,false
76,13:40:00.960,Pigeon,LG,2.69s,52,17,0.327,102,312,0.327,false
77,13:40:03.262,Pigeon,LG,2.026s,45,17,0.378,102,270,0.378,false
78,13:40:05.333,Pigeon,LG,1.149s,26,17,0.654,102,156,0.654,false
79,13:40:08.748,Pigeon,LG,2.711s,60,17,0.283,102,360,0.283,false
80,13:40:11.729,Pigeon,LG,2.706s,40,17,0.425,102,240,0.425,false
81,13:40:13.881,Pigeon,LG,1.284s,29,17,0.586,102,174,0.586,false
82,13:40:16.073,Pigeon,LG,1.915s,30,17,0.567,102,180,0.567,false
83,13:40:19.510,Pigeon,LG,1.885s,42,17,0.405,102,252,0.405,false
84,13:40:22.177,Pigeon,LG,2.397s,41,17,0.415,102,246,0.415,false
85,13:40:25.183,Pigeon,LG,1.929s,43,17,0.395,102,258,0.395,false
86,13:40:28.425,Pigeon,LG,2.713s,60,17,0.283,102,360,0.283,false
87,13:40:31.541,Pigeon,LG,1.976s,44,17,0.386,102,264,0.386,false
88,13:40:34.787,Pigeon,LG,2.97s,47,17,0.362,102,282,0.362,false
89,13:40:37.327,Pigeon,LG,2.115s,47,17,0.362,102,282,0.362,false
90,13:40:39.951,Pigeon,LG,1.747s,39,17,0.436,102,234,0.436,false
91,13:40:42.903,Pigeon,LG,1.793s,40,17,0.425,102,240,0.425,false
92,13:40:45.410,Pigeon,LG,2.231s,44,17,0.386,102,264,0.386,false
93,13:40:47.990,Pigeon,LG,2.317s,47,17,0.362,102,282,0.362,false
94,13:40:50.124,Pigeon,LG,1.698s,38,17,0.447,102,228,0.447,false
95,13:40:54.171,Pigeon,LG,2.713s,60,17,0.283,102,360,0.283,false
96,13:40:56.406,Pigeon,LG,1.332s,30,17,0.567,102,180,0.567,false
97,13:40:58.299,Pigeon,LG,1.659s,30,17,0.567,102,180,0.567,false
98,13:41:00.563,Pigeon,LG,1.471s,33,17,0.515,102,198,0.515,false
99,13:41:04.015,Pigeon,LG,2.575s,57,17,0.298,102,342,0.298,false
100,13:41:06.985,Pigeon,LG,1.929s,43,17,0.395,102,258,0.395,false
101,13:41:08.792,Pigeon,LG,1.529s,33,17,0.515,102,198,0.515,false
102,13:41:10.721,Pigeon,LG,1.675s,34,17,0.5,102,204,0.5,false
103,13:41:13.220,Pigeon,LG,2.068s,46,17,0.37,102,276,0.37,false
104,13:41:15.608,Pigeon,LG,1.426s,32,17,0.531,102,192,0.531,false
105,13:41:18.301,Pigeon,LG,2.207s,49,17,0.347,102,294,0.347,false
106,13:41:20.787,Pigeon,LG,2.21s,22,17,0.773,102,132,0.773,false
107,13:41:23.231,Pigeon,LG,2.168s,33,17,0.515,102,198,0.515,false
108,13:41:26.449,Pigeon,LG,2.297s,51,17,0.333,102,306,0.333,false
109,13:41:28.554,Pigeon,LG,1.516s,34,17,0.5,102,204,0.5,false
110,13:41:30.913,Pigeon,LG,1.194s,27,17,0.63,102,162,0.63,false
111,13:41:32.782,Pigeon,LG,1.104s,25,17,0.68,102,150,0.68,false
112,13:41:35.526,Pigeon,LG,1.883s,42,17,0.405,102,252,0.405,false
113,13:41:37.447,Pigeon,LG,1.66s,33,17,0.515,102,198,0.515,false
114,13:41:39.451,Pigeon,LG,1.564s,35,21,0.6,126,210,0.6,false
115,13:41:41.833,Pigeon,LG,1.93s,43,17,0.395,102,258,0.395,false
116,13:41:44.015,Pigeon,LG,1.422s,32,13,0.406,78,192,0.406,false
117,13:41:47.919,Pigeon,LG,2.895s,64,19,0.297,114,384,0.297,false
118,13:41:50.412,Pigeon,LG,1.839s,41,15,0.366,90,246,0.366,false
119,13:41:53.857,Pigeon,LG,1.977s,44,17,0.386,102,264,0.386,false
120,13:41:57.409,Pigeon,LG,2.627s,55,17,0.309,102,330,0.309,false
121,13:41:59.576,Pigeon,LG,1.744s,39,17,0.436,102,234,0.436,false
122,13:42:03.211,Pigeon,LG,3.357s,52,17,0.327,102,312,0.327,false
123,13:42:05.444,Pigeon,LG,1.285s,29,17,0.586,102,174,0.586,false
124,13:42:07.198,Pigeon,LG,1.287s,29,17,0.586,102,174,0.586,false
125,13:42:09.755,Pigeon,LG,1.792s,40,17,0.425,102,240,0.425,false
126,13:42:12.361,Pigeon,LG,2.25s,50,17,0.34,102,300,0.34,false
127,13:42:15.020,Pigeon,LG,1.884s,42,17,0.405,102,252,0.405,false
128,13:42:19.000,Pigeon,LG,3.704s,52,17,0.327,102,312,0.327,false
129,13:42:21.362,Pigeon,LG,2.085s,33,17,0.515,102,198,0.515,false
130,13:42:23.608,Pigeon,LG,1.839s,41,17,0.415,102,246,0.415,false
131,13:42:25.537,Pigeon,LG,1.654s,34,17,0.5,102,204,0.5,false
132,13:42:28.650,Pigeon,LG,2.859s,39,17,0.436,102,234,0.436,false
133,13:42:31.634,Pigeon,LG,2.022s,45,17,0.378,102,270,0.378,false
134,13:42:35.155,Pigeon,LG,2.068s,46,18,0.391,108,276,0.391,false
135,13:42:38.004,Pigeon,LG,2.436s,54,16,0.296,96,324,0.296,false
136,13:42:42.251,Pigeon,LG,3.972s,67,17,0.254,102,402,0.254,false
137,13:42:46.159,Pigeon,LG,2.941s,65,17,0.262,102,390,0.262,false
138,13:42:48.900,Pigeon,LG,1.608s,36,17,0.472,102,216,0.472,false
139,13:42:50.648,Pigeon,LG,1.242s,28,17,0.607,102,168,0.607,false
140,13:42:54.079,Pigeon,LG,3.172s,70,17,0.243,102,420,0.243,false
141,13:42:55.624,Pigeon,LG,1.102s,25,17,0.68,102,150,0.68,false
142,13:43:00.555,Pigeon,LG,3.679s,81,17,0.21,102,486,0.21,false
143,13:43:04.232,Pigeon,LG,1.793s,40,17,0.425,102,240,0.425,false
144,13:43:06.759,Pigeon,LG,1.654s,37,17,0.459,102,222,0.459,false
145,13:43:08.351,Pigeon,LG,1.193s,27,17,0.63,102,162,0.63,false
146,13:43:10.467,Pigeon,LG,1.286s,29,17,0.586,102,174,0.586,false
147,13:43:12.406,Pigeon,LG,1.516s,34,17,0.5,102,204,0.5,false
148,13:43:14.113,Pigeon,LG,1.285s,29,17,0.586,102,174,0.586,false
149,13:43:16.283,Pigeon,LG,1.701s,38,17,0.447,102,228,0.447,false
150,13:43:18.999,Pigeon,LG,1.745s,39,17,0.436,102,234,0.436,false
151,13:43:20.884,Pigeon,LG,1.424s,32,17,0.531,102,192,0.531,false
152,13:43:24.199,Pigeon,LG,2.713s,60,17,0.283,102,360,0.283,false
153,13:43:26.829,Pigeon,LG,1.702s,38,17,0.447,102,228,0.447,false
154,13:43:30.978,Pigeon,LG,3.876s,57,17,0.298,102,342,0.298,false
155,13:43:33.402,Pigeon,LG,1.886s,42,17,0.405,102,252,0.405,false
156,13:43:36.256,Pigeon,LG,2.588s,44,17,0.386,102,264,0.386,false
157,13:43:38.088,Pigeon,LG,1.424s,32,17,0.531,102,192,0.531,false
158,13:43:40.142,Pigeon,LG,1.56s,35,17,0.486,102,210,0.486,false
159,13:43:43.239,Pigeon,LG,1.561s,35,17,0.486,102,210,0.486,false
160,13:43:45.993,Pigeon,LG,2.544s,52,17,0.327,102,312,0.327,false
161,13:43:49.711,Pigeon,LG,2.713s,60,17,0.283,102,360,0.283,false
162,13:43:51.909,Pigeon,LG,1.608s,36,17,0.472,102,216,0.472,false
163,13:43:53.568,Pigeon,LG,1.239s,28,17,0.607,102,168,0.607,false
164,13:43:57.687,Pigeon,LG,3.845s,58,17,0.293,102,348,0.293,false
165,13:44:00.158,Pigeon,LG,2.194s,35,17,0.486,102,210,0.486,false
166,13:44:03.702,Pigeon,LG,3.268s,62,17,0.274,102,372,0.274,false
167,13:44:06.045,Pigeon,LG,2.067s,23,17,0.739,102,138,0.739,false
168,13:44:09.189,Pigeon,LG,2.345s,52,17,0.327,102,312,0.327,false
169,13:44:11.198,Pigeon,LG,1.609s,36,17,0.472,102,216,0.472,false
170,13:44:13.962,Pigeon,LG,2.489s,36,17,0.472,102,216,0.472,false
171,13:44:18.299,Pigeon,LG,4.06s,84,17,0.202,102,504,0.202,false
172,13:44:24.127,Pigeon,LG,4.874s,107,30,0.28,180,642,0.28,false
173,13:44:24.915,Pigeon,LG,0.411s,10,4,0.4,24,60,0.4,false
174,13:44:27.189,Pigeon,LG,1.378s,31,17,0.548,102,186,0.548,false
175,13:44:29.448,Pigeon,LG,1.653s,37,17,0.459,102,222,0.459,false
176,13:44:32.382,Pigeon,LG,1.608s,36,17,0.472,102,216,0.472,false
177,13:44:34.559,Pigeon,LG,1.956s,39,17,0.436,102,234,0.436,false
178,13:44:36.646,Pigeon,LG,1.563s,35,17,0.486,102,210,0.486,false
179,13:44:39.855,Pigeon,LG,2.972s,58,17,0.293,102,348,0.293,false
180,13:44:43.132,Pigeon,LG,1.332s,30,17,0.567,102,180,0.567,false
181,13:44:46.069,Pigeon,LG,2.663s,58,17,0.293,102,348,0.293,false
182,13:44:48.032,Pigeon,LG,1.717s,30,17,0.567,102,180,0.567,false
183,13:44:50.597,Pigeon,LG,1.331s,30,17,0.567,102,180,0.567,false
184,13:44:53.182,Pigeon,LG,1.561s,35,17,0.486,102,210,0.486,false
185,13:44:55.764,Pigeon,LG,2.306s,40,17,0.425,102,240,0.425,false
186,13:44:57.930,Pigeon,LG,1.285s,29,17,0.586,102,174,0.586,false
187,13:45:01.010,Pigeon,LG,1.24s,28,17,0.607,102,168,0.607,false
188,13:45:03.228,Pigeon,LG,1.747s,39,17,0.436,102,234,0.436,false
189,13:45:06.996,Pigeon,LG,2.345s,52,17,0.327,102,312,0.327,false
190,13:45:12.113,Pigeon,LG,4.048s,89,17,0.191,102,534,0.191,false
191,13:45:15.458,Pigeon,LG,2.805s,62,17,0.274,102,372,0.274,false
192,13:45:17.999,Pigeon,LG,1.377s,31,17,0.548,102,186,0.548,false
193,13:45:19.719,Pigeon,LG,1.442s,23,17,0.739,102,138,0.739,false
194,13:45:22.589,Pigeon,LG,2.599s,40,17,0.425,102,240,0.425,false
195,13:45:25.051,Pigeon,LG,1.472s,33,17,0.515,102,198,0.515,false
196,13:45:27.656,Pigeon,LG,2.329s,35,17,0.486,102,210,0.486,false
197,13:45:29.651,Pigeon,LG,1.721s,30,17,0.567,102,180,0.567,false
198,13:45:33.205,Pigeon,LG,3.273s,39,17,0.436,102,234,0.436,false
199,13:45:35.249,Pigeon,LG,1.858s,36,17,0.472,102,216,0.472,false
200,13:45:41.024,Pigeon,LG,2.345s,52,17,0.327,102,312,0.327,false
201,13:45:43.293,Pigeon,LG,1.792s,40,17,0.425,102,240,0.425,false
202,13:45:46.068,Pigeon,LG,1.563s,35,19,0.543,114,210,0.543,false
203,13:45:47.648,Pigeon,LG,1.148s,26,15,0.577,90,156,0.577,false
204,13:45:50.090,Pigeon,LG,2.275s,37,17,0.459,102,222,0.459,false
205,13:45:52.234,Pigeon,LG,1.562s,35,17,0.486,102,210,0.486,false
206,13:45:54.274,Pigeon,LG,1.331s,30,17,0.567,102,180,0.567,false
207,13:45:56.259,Pigeon,LG,1.285s,29,17,0.586,102,174,0.586,false
208,13:45:58.303,Pigeon,LG,1.334s,30,17,0.567,102,180,0.567,false
209,13:46:00.566,Pigeon,LG,1.607s,36,17,0.472,102,216,0.472,false
210,13:46:02.583,Pigeon,LG,1.781s,25,17,0.68,102,150,0.68,false
211,13:46:04.742,Pigeon,LG,1.61s,36,17,0.472,102,216,0.472,false
212,13:46:07.645,Pigeon,LG,1.838s,41,17,0.415,102,246,0.415,false
213,13:46:10.987,Pigeon,LG,2.206s,49,17,0.347,102,294,0.347,false
214,13:46:12.433,Pigeon,LG,1.197s,27,17,0.63,102,162,0.63,false
215,13:46:14.945,Pigeon,LG,1.515s,34,17,0.5,102,204,0.5,false
216,13:46:17.060,Pigeon,LG,1.561s,35,17,0.486,102,210,0.486,false
217,13:46:20.188,Pigeon,LG,2.889s,51,17,0.333,102,306,0.333,false
218,13:46:22.229,Pigeon,LG,1.561s,35,17,0.486,102,210,0.486,false
219,13:46:24.920,Pigeon,LG,2.414s,39,17,0.436,102,234,0.436,false
220,13:46:28.422,Pigeon,LG,3.228s,56,17,0.304,102,336,0.304,false
