Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:20:50.875,Quaker Bot Long Strafes,M4,0.721s,21,10,0.476,268.8,392.7,0.684,false
2,15:20:52.373,Quaker Bot Long Strafes,M4,1.15s,33,9,0.273,262.5,606.9,0.433,false
3,15:20:54.010,Quaker Bot Long Strafes,M4,1.148s,33,8,0.242,270.9,606.9,0.446,false
4,15:20:56.325,Sprinting Quaker Bot Long Strafes,M4,1.726s,49,14,0.286,270.9,892.5,0.304,false
5,15:21:44.593,Sprinting Quaker Bot Long Strafes,M4,1.295s,37,13,0.351,302.4,678.3,0.446,false
6,15:21:46.195,Quaker Bot Long Strafes,M4,1.007s,29,8,0.276,212.1,535.5,0.396,false
7,15:21:50.112,Sprinting Quaker Bot Long Strafes,M4,3.504s,57,10,0.175,268.8,1035.3,0.26,false
8,15:21:52.272,Sprinting Quaker Bot Long Strafes,M4,1.222s,35,13,0.371,270.9,642.6,0.422,false
9,15:21:54.302,Sprinting Quaker Bot Long Strafes,M4,1.364s,39,10,0.256,268.8,714,0.376,false
10,15:21:56.776,Quaker Bot Long Strafes,M4,1.655s,47,13,0.277,317.1,856.8,0.37,false
11,15:21:58.083,Sprinting Quaker Bot Long Strafes,M4,0.934s,27,7,0.259,205.8,499.8,0.412,false
12,15:21:59.633,Quaker Bot Long Strafes,M4,0.79s,23,8,0.348,270.9,428.4,0.632,false
13,15:22:01.501,Sprinting Quaker Bot Long Strafes,M4,1.295s,37,13,0.351,270.9,678.3,0.399,false
14,15:22:03.182,Quaker Bot Long Strafes,M4,1.292s,37,9,0.243,277.2,678.3,0.409,false
15,15:22:05.196,Sprinting Quaker Bot Long Strafes,M4,1.295s,37,21,0.568,268.8,678.3,0.396,false
16,15:22:06.833,Quaker Bot Long Strafes,M4,1.148s,33,10,0.303,268.8,606.9,0.443,false
17,15:22:08.231,Quaker Bot Long Strafes,M4,0.935s,27,11,0.407,260.4,499.8,0.521,false
18,15:22:10.341,Sprinting Quaker Bot Long Strafes,M4,1.727s,49,12,0.245,281.4,892.5,0.315,false
19,15:22:12.869,Sprinting Quaker Bot Long Strafes,M4,1.725s,49,14,0.286,256.2,892.5,0.287,false
20,15:22:16.350,Quaker Bot Long Strafes,M4,3.038s,55,10,0.182,268.8,999.6,0.269,false
21,15:22:17.752,Sprinting Quaker Bot Long Strafes,M4,0.936s,27,10,0.37,268.8,499.8,0.538,false
22,15:22:19.622,Quaker Bot Long Strafes,M4,1.649s,45,12,0.267,281.4,821.1,0.343,false
23,15:22:21.304,Sprinting Quaker Bot Long Strafes,M4,1.151s,33,21,0.636,252,606.9,0.415,false
24,15:22:23.263,Sprinting Quaker Bot Long Strafes,M4,1.51s,43,15,0.349,256.2,785.4,0.326,false
25,15:22:25.320,Quaker Bot Long Strafes,M4,1.616s,45,9,0.2,262.5,821.1,0.32,false
26,15:22:27.135,Sprinting Quaker Bot Long Strafes,M4,1.366s,39,17,0.436,283.5,714,0.397,false
27,15:22:28.808,Quaker Bot Long Strafes,M4,1.149s,33,15,0.455,252,606.9,0.415,false
28,15:22:30.367,Quaker Bot Long Strafes,M4,1.077s,31,11,0.355,260.4,571.2,0.456,false
29,15:22:33.780,Quaker Bot Long Strafes,M4,2.953s,57,12,0.211,260.4,1035.3,0.252,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
M4,1117,345,7719.605469,20456.074219,

Kills:,29
Deaths:,0
Fight Time:,42.377998
Avg TTK:,0
Damage Done:,7719.605469
Damage Taken:,0.0
Midairs:,25
Midaired:,0
Directs:,60
Directed:,0
Reloads:,3
Distance Traveled:,372.427887
Score:,7864.605469
Scenario:,Modern Warfare Warzone PatTargetSwitch
Hash:,d3a91077f6334f8ed1fddf2ab02699e4
Game Version:,v2.6.3
Challenge Start:,15:21:42.059
Pause Count:,5
Pause Duration:,340

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.9
Vert Sens:,6.9
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,260.265839
Resolution Scale,100.0
