Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:57:03.874,air_close_short,LG,10.837s,1085,553,0.51,721.112,1414.83,0.51,false
2,17:57:17.384,air1_far_short,LG,12.238s,1225,553,0.451,721.112,1597.384,0.451,false
3,17:57:54.995,Bot Profile,LG,37.373s,3243,553,0.171,721.112,4228.79,0.171,false
4,17:58:08.580,air1F_close_long,LG,12.435s,1150,553,0.481,721.112,1499.587,0.481,false
5,17:58:24.979,air1F_far_long,LG,16.148s,1280,553,0.432,721.112,1669.101,0.432,false
6,17:58:40.508,air1F_close_short,LG,15.284s,1371,553,0.403,721.112,1787.761,0.403,false
7,17:58:56.583,air1F_far_short,LG,14.956s,1478,553,0.374,721.112,1927.285,0.374,false
8,17:59:26.630,air1_UFO,LG,30.033s,2724,553,0.203,721.112,3552.013,0.203,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,13557,4425,5770.353516,17677.716797,

Kills:,8
Deaths:,0
Fight Time:,149.304001
Avg TTK:,0
Damage Done:,5770.353516
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,845.356323
Scenario:,Plaza High Ground Easy
Hash:,5c5ca02ae4262855659e9f8e03c0128f
Game Version:,v2.6.3
Challenge Start:,17:56:51.986
Pause Count:,22
Pause Duration:,557

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.75
Vert Sens:,6.75
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,331.203522
Resolution Scale,100.0
