Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:40:42.337,air_close_short,LG,12.16s,1217,553,0.454,721.112,1586.952,0.454,false
2,17:40:55.661,air1_far_short,LG,13.085s,1186,553,0.466,721.112,1546.53,0.466,false
3,17:41:17.590,Bot Profile,LG,20.889s,1964,553,0.282,721.112,2561.007,0.282,false
4,17:41:29.666,air1F_close_long,LG,9.779s,917,553,0.603,721.112,1195.766,0.603,false
5,17:41:43.828,air1F_far_long,LG,13.911s,1078,553,0.513,721.112,1405.703,0.513,false
6,17:42:00.758,air1F_close_short,LG,16.706s,1479,553,0.374,721.112,1928.589,0.374,false
7,17:42:16.522,air1F_far_short,LG,14.576s,1360,553,0.407,721.112,1773.418,0.407,false
8,17:42:44.836,air1_UFO,LG,26.995s,2350,553,0.235,721.112,3064.333,0.235,false
9,17:42:59.434,air_close_short,LG,13.125s,1249,553,0.443,721.112,1628.679,0.443,false
10,17:43:10.859,air1_far_short,LG,10.138s,1015,553,0.545,721.112,1323.553,0.545,false
11,17:43:31.207,Bot Profile,LG,18.934s,1697,553,0.326,721.112,2212.851,0.326,false
12,17:43:40.776,air1F_close_long,LG,8.537s,827,553,0.669,721.112,1078.41,0.669,false
13,17:43:52.819,air1F_far_long,LG,11.792s,1001,553,0.552,721.112,1305.298,0.552,false
14,17:44:08.124,air1F_close_short,LG,15.062s,1364,553,0.405,721.112,1778.634,0.405,false
15,17:44:23.126,air1F_far_short,LG,13.994s,1379,553,0.401,721.112,1798.193,0.401,false
16,17:44:52.492,air1_UFO,LG,28.006s,2492,553,0.222,721.112,3249.495,0.222,false
17,17:45:03.900,air_close_short,LG,11.15s,1007,553,0.549,721.112,1313.122,0.549,false
18,17:45:16.302,air1_far_short,LG,11.21s,1092,553,0.506,721.112,1423.958,0.506,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,25702,10264,13383.62793,33523.144531,

Kills:,18
Deaths:,0
Fight Time:,270.049011
Avg TTK:,0
Damage Done:,13383.62793
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,0.0
Scenario:,Plaza high ground 5 min
Hash:,978c11e78bfbd1ba22c7f7a9437ff823
Game Version:,v2.6.3
Challenge Start:,17:40:29.083
Pause Count:,17
Pause Duration:,1137

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.9
Vert Sens:,6.9
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,340.945587
Resolution Scale,100.0
