Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:13:29.971,air_close_short,LG,14.299s,1431,553,0.386,721.112,1865.999,0.386,false
2,13:13:42.534,air1_far_short,LG,11.297s,1131,553,0.489,721.112,1474.812,0.489,false
3,13:14:16.273,Bot Profile,LG,32.172s,3001,553,0.184,721.112,3913.208,0.184,false
4,13:14:29.975,air1F_close_long,LG,13.477s,1186,553,0.466,721.112,1546.53,0.466,false
5,13:14:41.610,air1F_far_long,LG,10.199s,976,553,0.567,721.112,1272.699,0.567,false
6,13:14:58.784,air1F_close_short,LG,16.924s,1617,553,0.342,721.112,2108.534,0.342,false
7,13:15:17.178,air1F_far_short,LG,17.261s,1697,553,0.326,721.112,2212.851,0.326,false
8,13:15:46.423,air1_UFO,LG,27.851s,2595,553,0.213,721.112,3383.802,0.213,false
9,13:16:00.070,air_close_short,LG,12.508s,1252,553,0.442,721.112,1632.591,0.442,false
10,13:16:13.056,air1_far_short,LG,11.857s,1187,553,0.466,721.112,1547.834,0.466,false
11,13:16:51.250,Bot Profile,LG,36.668s,3348,553,0.165,721.112,4365.731,0.165,false
12,13:17:06.121,air1F_close_long,LG,14.621s,1290,553,0.429,721.112,1682.141,0.429,false
13,13:17:19.810,air1F_far_long,LG,13.439s,1264,553,0.438,721.112,1648.238,0.438,false
14,13:17:34.536,air1F_close_short,LG,14.473s,1368,553,0.404,721.112,1783.849,0.404,false
15,13:17:50.893,air1F_far_short,LG,15.288s,1530,553,0.361,721.112,1995.09,0.361,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,26917,8690,11331.586914,35108.339844,

Kills:,15
Deaths:,0
Fight Time:,262.334015
Avg TTK:,0
Damage Done:,11331.586914
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,0.0
Scenario:,Plaza low ground 5 min
Hash:,f2844d5efa46cdf9fefa237695060b8a
Game Version:,v2.6.3
Challenge Start:,13:13:14.355
Pause Count:,8
Pause Duration:,81

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.2
Vert Sens:,7.2
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,326.691864
Resolution Scale,100.0
