Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:02:26.274,RS Target BL,pistol,0.438s,2,2,1,60,120,0.5,false
2,19:02:28.077,RS Target T,pistol,0.854s,2,1,0.5,30,120,0.25,false
3,19:02:28.824,RS Target TR,pistol,0.455s,2,2,1,60,120,0.5,false
4,19:02:30.074,RS Target TL,pistol,0.445s,2,2,1,60,120,0.5,false
5,19:02:31.148,RS Target R,pistol,0.393s,2,2,1,60,120,0.5,false
6,19:02:32.925,RS Target BR,pistol,0.884s,2,1,0.5,30,120,0.25,false
7,19:02:33.622,RS Target BR,pistol,0.416s,2,2,1,60,120,0.5,false
8,19:02:34.648,RS Target R,pistol,0.395s,2,2,1,60,120,0.5,false
9,19:02:36.230,RS Target R,pistol,0.88s,2,1,0.5,30,120,0.25,false
10,19:02:36.991,RS Target BR,pistol,0.452s,2,2,1,60,120,0.5,false
11,19:02:38.452,RS Target L,pistol,0.871s,2,1,0.5,30,120,0.25,false
12,19:02:39.429,RS Target BL,pistol,0.933s,3,2,0.667,60,180,0.333,false
13,19:02:40.858,RS Target TL,pistol,0.846s,2,1,0.5,30,120,0.25,false
14,19:02:41.597,RS Target B,pistol,0.394s,2,2,1,60,120,0.5,false
15,19:02:42.570,RS Target L,pistol,0.403s,2,2,1,60,120,0.5,false
16,19:02:43.796,RS Target TL,pistol,0.452s,2,2,1,60,120,0.5,false
17,19:02:44.763,RS Target B,pistol,0.444s,2,2,1,60,120,0.5,false
18,19:02:46.201,RS Target B,pistol,0.88s,2,1,0.5,30,120,0.25,false
19,19:02:47.038,RS Target R,pistol,0.468s,2,2,1,60,120,0.5,false
20,19:02:48.481,RS Target R,pistol,0.711s,3,2,0.667,60,180,0.333,false
21,19:02:50.040,RS Target TL,pistol,0.849s,2,1,0.5,30,120,0.25,false
22,19:02:51.183,RS Target L,pistol,0.834s,2,1,0.5,30,120,0.25,false
23,19:02:51.962,RS Target BR,pistol,0.434s,2,2,1,60,120,0.5,false
24,19:02:53.009,RS Target BR,pistol,0.422s,2,2,1,60,120,0.5,false
25,19:02:54.446,RS Target R,pistol,0.83s,2,1,0.5,30,120,0.25,false
26,19:02:55.192,RS Target BL,pistol,0.42s,2,2,1,60,120,0.5,false
27,19:02:56.212,RS Target TR,pistol,0.475s,2,2,1,60,120,0.5,false
28,19:02:57.335,RS Target R,pistol,0.42s,2,2,1,60,120,0.5,false
29,19:02:58.696,RS Target T,pistol,0.828s,2,1,0.5,30,120,0.25,false
30,19:02:59.409,RS Target BL,pistol,0.455s,2,2,1,60,120,0.5,false
31,19:03:00.467,RS Target B,pistol,0.405s,2,2,1,60,120,0.5,false
32,19:03:02.511,RS Target T,pistol,1.348s,3,1,0.333,30,180,0.167,false
33,19:03:03.267,RS Target T,pistol,0.455s,2,2,1,60,120,0.5,false
34,19:03:04.713,RS Target R,pistol,0.877s,2,1,0.5,30,120,0.25,false
35,19:03:05.900,RS Target TR,pistol,0.858s,2,1,0.5,30,120,0.25,false
36,19:03:06.721,RS Target TL,pistol,0.485s,2,2,1,60,120,0.5,false
37,19:03:08.103,RS Target L,pistol,0.834s,2,1,0.5,30,120,0.25,false
38,19:03:09.064,RS Target R,pistol,0.387s,2,2,1,60,120,0.5,false
39,19:03:10.462,RS Target R,pistol,0.672s,3,2,0.667,60,180,0.333,false
40,19:03:11.509,RS Target L,pistol,0.378s,2,2,1,60,120,0.5,false
41,19:03:12.439,RS Target TL,pistol,0.384s,2,2,1,60,120,0.5,false
42,19:03:13.913,RS Target TL,pistol,0.832s,2,1,0.5,30,120,0.25,false
43,19:03:15.043,RS Target T,pistol,0.822s,2,1,0.5,30,120,0.25,false
44,19:03:16.266,RS Target L,pistol,0.905s,2,1,0.5,30,120,0.25,false
45,19:03:16.892,RS Target L,pistol,0.395s,2,2,1,60,120,0.5,false
46,19:03:18.316,RS Target L,pistol,0.818s,2,1,0.5,30,120,0.25,false
47,19:03:19.094,RS Target R,pistol,0.424s,2,2,1,60,120,0.5,false
48,19:03:20.522,RS Target TR,pistol,0.818s,3,2,0.667,60,180,0.333,false
49,19:03:22.094,RS Target TR,pistol,1.107s,3,1,0.333,30,180,0.167,false
50,19:03:23.399,RS Target T,pistol,0.863s,2,1,0.5,30,120,0.25,false
51,19:03:24.627,RS Target TL,pistol,0.878s,2,1,0.5,30,120,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,109,82,2460.0,6540.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,51
Deaths:,0
Fight Time:,32.925999
Avg TTK:,0
Damage Done:,2460.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,2460.0
Scenario:,Reactive Clicking
Hash:,daeb3d1b8f01e17098922fb0b1cc2ca3
Game Version:,2.0.5.3
Challenge Start:,19:02:25.014
Pause Count:,35
Pause Duration:,545

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,326.223389
Resolution Scale,100.0
