Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:15:47.883,target_decay,pistol,2.48s,4,1,0.25,25,200,0.125,false
2,23:15:49.512,target_decay,pistol,0.815s,2,1,0.5,25,100,0.25,false
3,23:15:54.860,target_decay,pistol,4.353s,6,1,0.167,25,300,0.083,false
4,23:16:00.265,target_decay,pistol,4.456s,6,1,0.167,25,300,0.083,false
5,23:16:12.698,target_decay,pistol,11.393s,13,1,0.077,25,650,0.038,false
6,23:16:15.316,target_decay,pistol,1.693s,3,1,0.333,25,150,0.167,false
7,23:16:16.072,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,23:16:18.628,target_decay,pistol,1.708s,3,1,0.333,25,150,0.167,false
9,23:16:19.365,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,23:16:20.053,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,23:16:21.801,target_decay,pistol,0.971s,2,1,0.5,25,100,0.25,false
12,23:16:40.925,target_decay,pistol,18.357s,21,1,0.048,25,1050,0.024,false
13,23:16:41.787,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:16:43.576,target_decay,pistol,1.025s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,14,350.0,3350.0,

Kills:,14
Deaths:,0
Fight Time:,47.250999
Avg TTK:,0
Damage Done:,350.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,292.537323
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,23:15:44.735
Pause Count:,40
Pause Duration:,387

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.150742
Resolution Scale,100.0
