Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:33:51.887,target_decay,pistol,8.736s,10,1,0.1,25,500,0.05,false
2,16:33:52.748,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,16:33:53.557,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,16:33:54.373,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,16:33:56.001,target_decay,pistol,0.853s,2,1,0.5,25,100,0.25,false
6,16:33:56.722,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,16:34:02.836,target_decay,pistol,5.326s,7,1,0.143,25,350,0.071,false
8,16:34:06.366,target_decay,pistol,2.77s,4,1,0.25,25,200,0.125,false
9,16:34:08.872,target_decay,pistol,1.572s,3,1,0.333,25,150,0.167,false
10,16:34:09.697,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,16:34:11.349,target_decay,pistol,0.821s,2,1,0.5,25,100,0.25,false
12,16:34:15.665,target_decay,pistol,3.301s,5,1,0.2,25,250,0.1,false
13,16:34:17.373,target_decay,pistol,0.867s,2,1,0.5,25,100,0.25,false
14,16:34:18.128,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,16:34:23.404,target_decay,pistol,4.519s,6,1,0.167,25,300,0.083,false
16,16:34:30.492,target_decay,pistol,6.37s,8,1,0.125,25,400,0.062,false
17,16:34:32.238,target_decay,pistol,0.738s,2,1,0.5,25,100,0.25,false
18,16:34:33.028,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,16:34:39.281,target_decay,pistol,5.457s,7,1,0.143,25,350,0.071,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,19,475.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,41.330002
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,538.805969
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,16:33:42.376
Pause Count:,36
Pause Duration:,124

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.16217
Resolution Scale,100.0
