Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:34:53.230,target_decay,pistol,4.385s,6,1,0.167,25,300,0.083,false
2,16:35:01.279,target_decay,pistol,7.295s,9,1,0.111,25,450,0.056,false
3,16:35:07.381,target_decay,pistol,5.229s,6,1,0.167,25,300,0.083,false
4,16:35:10.870,target_decay,pistol,2.68s,4,1,0.25,25,200,0.125,false
5,16:35:14.286,target_decay,pistol,2.589s,4,1,0.25,25,200,0.125,false
6,16:35:24.902,target_decay,pistol,9.852s,11,1,0.091,25,550,0.045,false
7,16:35:37.333,target_decay,pistol,11.493s,14,1,0.071,25,700,0.036,false
8,16:35:38.054,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,16:35:38.867,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,16:35:39.556,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,16:35:41.144,target_decay,pistol,0.879s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,11,275.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,11
Deaths:,0
Fight Time:,44.402
Avg TTK:,0
Damage Done:,275.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,175.36232
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,16:34:48.249
Pause Count:,37
Pause Duration:,125

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.783798
Resolution Scale,100.0
