Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:36:00.429,target_decay,pistol,6.877s,8,1,0.125,25,400,0.062,false
2,16:36:01.125,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,16:36:01.887,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,16:36:07.260,target_decay,pistol,4.621s,5,1,0.2,25,250,0.1,false
5,16:36:08.182,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,16:36:09.910,target_decay,pistol,0.84s,3,1,0.333,25,150,0.167,false
7,16:36:11.705,target_decay,pistol,0.719s,2,1,0.5,25,100,0.25,false
8,16:36:12.476,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,16:36:13.259,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,16:36:16.716,target_decay,pistol,2.605s,4,1,0.25,25,200,0.125,false
11,16:36:17.503,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,16:36:18.324,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,16:36:21.748,target_decay,pistol,2.676s,5,1,0.2,25,250,0.1,false
14,16:36:23.438,target_decay,pistol,0.976s,2,1,0.5,25,100,0.25,false
15,16:36:26.777,target_decay,pistol,2.429s,4,1,0.25,25,200,0.125,false
16,16:36:30.167,target_decay,pistol,2.621s,5,1,0.2,25,250,0.1,false
17,16:36:50.881,target_decay,pistol,19.831s,25,1,0.04,25,1250,0.02,false
18,16:36:51.692,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,18,450.0,3600.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,44.195
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,450.0
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,16:35:52.659
Pause Count:,38
Pause Duration:,126

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.001801
Resolution Scale,100.0
