Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:36:58.983,target_decay,pistol,1.659s,3,1,0.333,25,150,0.167,false
2,16:37:06.115,target_decay,pistol,6.12s,9,1,0.111,25,450,0.056,false
3,16:37:12.210,target_decay,pistol,5.353s,7,1,0.143,25,350,0.071,false
4,16:37:16.542,target_decay,pistol,3.405s,4,1,0.25,25,200,0.125,false
5,16:37:17.338,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,16:37:18.126,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,16:37:21.577,target_decay,pistol,1.855s,3,1,0.333,25,150,0.167,false
8,16:37:25.022,target_decay,pistol,2.737s,4,1,0.25,25,200,0.125,false
9,16:37:27.506,target_decay,pistol,1.753s,4,1,0.25,25,200,0.125,false
10,16:37:29.243,target_decay,pistol,0.854s,2,1,0.5,25,100,0.25,false
11,16:37:33.859,target_decay,pistol,3.662s,6,1,0.167,25,300,0.083,false
12,16:37:36.413,target_decay,pistol,1.468s,4,1,0.25,25,200,0.125,false
13,16:37:38.074,target_decay,pistol,0.68s,2,1,0.5,25,100,0.25,false
14,16:37:39.812,target_decay,pistol,0.658s,2,1,0.5,25,100,0.25,false
15,16:37:45.082,target_decay,pistol,4.446s,6,1,0.167,25,300,0.083,false
16,16:37:45.847,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,16:37:46.532,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,16:37:47.248,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,16:37:53.494,target_decay,pistol,5.437s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,19,475.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,40.087002
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,523.188416
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,16:36:56.733
Pause Count:,39
Pause Duration:,127

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.552536
Resolution Scale,100.0
