Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:21:37.472,target_decay,pistol,0.6s,2,1,0.5,25,100,0.25,false
2,02:23:24.265,target_decay,pistol,106.089s,12,1,0.083,25,600,0.042,false
3,02:23:25.042,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
4,02:23:28.595,target_decay,pistol,2.464s,4,1,0.25,25,200,0.125,false
5,02:23:55.073,target_decay,pistol,25.755s,29,1,0.034,25,1450,0.017,false
6,02:23:57.766,target_decay,pistol,1.884s,3,1,0.333,25,150,0.167,false
7,02:24:00.296,target_decay,pistol,1.764s,3,1,0.333,25,150,0.167,false
8,02:24:05.445,target_decay,pistol,4.303s,6,1,0.167,25,300,0.083,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,8,200.0,3250.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,8
Deaths:,0
Fight Time:,142.860001
Avg TTK:,0
Damage Done:,200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,98.46154
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,02:23:14.554
Pause Count:,8
Pause Duration:,153

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,102.667191
Resolution Scale,100.0
