Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:26:24.176,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
2,02:26:31.431,target_decay,pistol,6.483s,8,1,0.125,25,400,0.062,false
3,02:26:32.227,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,02:26:36.664,target_decay,pistol,3.218s,5,1,0.2,25,250,0.1,false
5,02:26:45.704,target_decay,pistol,8.057s,9,1,0.111,25,450,0.056,false
6,02:26:47.427,target_decay,pistol,0.86s,2,1,0.5,25,100,0.25,false
7,02:26:50.962,target_decay,pistol,2.725s,4,1,0.25,25,200,0.125,false
8,02:26:51.830,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,02:26:58.984,target_decay,pistol,6.342s,8,1,0.125,25,400,0.062,false
10,02:26:59.777,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,02:27:01.580,target_decay,pistol,0.817s,2,1,0.5,25,100,0.25,false
12,02:27:04.137,target_decay,pistol,1.742s,3,1,0.333,25,150,0.167,false
13,02:27:04.822,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,02:27:07.389,target_decay,pistol,1.798s,3,1,0.333,25,150,0.167,false
15,02:27:18.104,target_decay,pistol,9.878s,12,1,0.083,25,600,0.042,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,15,375.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,41.921001
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,340.909088
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,02:26:22.662
Pause Count:,11
Pause Duration:,156

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,104.374352
Resolution Scale,100.0
