Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:36:57.203,target_decay,pistol,1.809s,2,1,0.5,25,100,0.25,false
2,19:37:01.685,target_decay,pistol,3.684s,5,1,0.2,25,250,0.1,false
3,19:37:02.455,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,19:37:03.309,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,19:37:13.176,target_decay,pistol,9.114s,11,1,0.091,25,550,0.045,false
6,19:37:14.790,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,19:37:22.801,target_decay,pistol,6.129s,6,1,0.167,25,300,0.083,false
8,19:37:25.482,target_decay,pistol,1.144s,2,1,0.5,25,100,0.25,false
9,19:37:29.868,target_decay,pistol,3.511s,5,1,0.2,25,250,0.1,false
10,19:37:32.440,target_decay,pistol,1.72s,3,1,0.333,25,150,0.167,false
11,19:37:35.942,target_decay,pistol,2.617s,4,1,0.25,25,200,0.125,false
12,19:37:36.752,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,19:37:39.258,target_decay,pistol,1.667s,3,1,0.333,25,150,0.167,false
14,19:37:39.996,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,19:37:48.894,target_decay,pistol,8.15s,9,1,0.111,25,450,0.056,false
16,19:37:50.640,target_decay,pistol,0.851s,2,1,0.5,25,100,0.25,false
17,19:37:52.467,target_decay,pistol,0.974s,2,1,0.5,25,100,0.25,false
18,19:37:53.296,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,19:37:54.110,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,61,19,475.0,3050.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,41.369999
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,591.803223
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,19:36:54.891
Pause Count:,37
Pause Duration:,203

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.285172
Resolution Scale,100.0
