Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:38:01.672,target_decay,pistol,1.54s,3,1,0.333,25,150,0.167,false
2,19:38:03.497,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,19:38:06.997,target_decay,pistol,2.632s,4,1,0.25,25,200,0.125,false
4,19:38:09.457,target_decay,pistol,1.705s,3,1,0.333,25,150,0.167,false
5,19:38:11.222,target_decay,pistol,0.893s,2,1,0.5,25,100,0.25,false
6,19:38:11.984,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,19:38:13.616,target_decay,pistol,0.881s,2,1,0.5,25,100,0.25,false
8,19:38:15.308,target_decay,pistol,0.695s,2,1,0.5,25,100,0.25,false
9,19:38:19.762,target_decay,pistol,3.197s,5,1,0.2,25,250,0.1,false
10,19:38:26.825,target_decay,pistol,6.328s,7,1,0.143,25,350,0.071,false
11,19:38:33.871,target_decay,pistol,5.198s,6,1,0.167,25,300,0.083,false
12,19:38:36.431,target_decay,pistol,1.72s,3,1,0.333,25,150,0.167,false
13,19:38:39.977,target_decay,pistol,2.768s,4,1,0.25,25,200,0.125,false
14,19:38:46.223,target_decay,pistol,5.463s,6,1,0.167,25,300,0.083,false
15,19:38:47.880,target_decay,pistol,0.836s,2,1,0.5,25,100,0.25,false
16,19:38:49.579,target_decay,pistol,0.874s,2,1,0.5,25,100,0.25,false
17,19:38:55.024,target_decay,pistol,4.512s,6,1,0.167,25,300,0.083,false
18,19:38:58.448,target_decay,pistol,2.579s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,63,18,450.0,3150.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,41.820999
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,514.285767
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,19:37:59.341
Pause Count:,38
Pause Duration:,204

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.446625
Resolution Scale,100.0
