Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:40:08.910,target_decay,pistol,1.64s,3,1,0.333,25,150,0.167,false
2,19:40:09.673,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,19:40:14.971,target_decay,pistol,4.545s,6,1,0.167,25,300,0.083,false
4,19:40:16.636,target_decay,pistol,0.764s,2,1,0.5,25,100,0.25,false
5,19:40:19.271,target_decay,pistol,1.867s,3,1,0.333,25,150,0.167,false
6,19:40:21.973,target_decay,pistol,1.745s,3,1,0.333,25,150,0.167,false
7,19:40:27.266,target_decay,pistol,4.468s,6,1,0.167,25,300,0.083,false
8,19:40:28.015,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,19:40:28.827,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,19:40:31.448,target_decay,pistol,1.931s,3,1,0.333,25,150,0.167,false
11,19:40:35.791,target_decay,pistol,3.477s,5,1,0.2,25,250,0.1,false
12,19:40:38.310,target_decay,pistol,1.773s,3,1,0.333,25,150,0.167,false
13,19:40:45.409,target_decay,pistol,6.248s,8,1,0.125,25,400,0.062,false
14,19:40:46.174,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,19:40:46.979,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,19:40:47.714,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,19:40:53.969,target_decay,pistol,5.442s,7,1,0.143,25,350,0.071,false
18,19:40:55.770,target_decay,pistol,1.064s,2,1,0.5,25,100,0.25,false
19,19:40:56.650,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,19:40:57.452,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,19:40:59.061,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,19:41:02.531,target_decay,pistol,2.701s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,22,550.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,37.665001
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,711.764709
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,19:40:06.711
Pause Count:,40
Pause Duration:,206

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.23587
Resolution Scale,100.0
