Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:19:59.128,target_decay,pistol,3.446s,5,1,0.2,25,250,0.1,false
2,19:20:01.697,target_decay,pistol,1.831s,3,1,0.333,25,150,0.167,false
3,19:20:04.263,target_decay,pistol,1.851s,3,1,0.333,25,150,0.167,false
4,19:20:08.535,target_decay,pistol,3.516s,5,1,0.2,25,250,0.1,false
5,19:20:12.103,target_decay,pistol,2.793s,4,1,0.25,25,200,0.125,false
6,19:20:12.899,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,19:20:27.266,target_decay,pistol,13.487s,14,1,0.071,25,700,0.036,false
8,19:20:28.049,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,19:20:32.370,target_decay,pistol,3.579s,5,1,0.2,25,250,0.1,false
10,19:20:34.802,target_decay,pistol,1.618s,3,1,0.333,25,150,0.167,false
11,19:20:36.365,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
12,19:20:40.623,target_decay,pistol,3.448s,5,1,0.2,25,250,0.1,false
13,19:20:44.114,target_decay,pistol,2.711s,3,1,0.333,25,150,0.167,false
14,19:20:44.922,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,19:20:51.078,target_decay,pistol,5.263s,6,1,0.167,25,300,0.083,false
16,19:20:53.632,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,19:20:54.385,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,17,425.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,17
Deaths:,0
Fight Time:,43.543999
Avg TTK:,0
Damage Done:,425.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,466.129059
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,19:19:55.018
Pause Count:,4
Pause Duration:,41

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.625397
Resolution Scale,100.0
