Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:10:39.197,target_decay,pistol,3.286s,5,1,0.2,25,250,0.1,false
2,02:10:40.794,target_decay,pistol,0.814s,2,1,0.5,25,100,0.25,false
3,02:10:47.008,target_decay,pistol,5.422s,7,1,0.143,25,350,0.071,false
4,02:10:47.774,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,02:10:48.539,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
6,02:10:50.192,target_decay,pistol,0.855s,2,1,0.5,25,100,0.25,false
7,02:10:54.453,target_decay,pistol,3.457s,5,1,0.2,25,250,0.1,false
8,02:10:56.047,target_decay,pistol,0.856s,2,1,0.5,25,100,0.25,false
9,02:11:04.895,target_decay,pistol,8.092s,10,1,0.1,25,500,0.05,false
10,02:11:05.602,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,02:11:11.824,target_decay,pistol,4.374s,6,1,0.167,25,300,0.083,false
12,02:11:13.508,target_decay,pistol,0.882s,2,1,0.5,25,100,0.25,false
13,02:11:16.076,target_decay,pistol,1.732s,3,1,0.333,25,150,0.167,false
14,02:11:16.887,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,02:11:21.312,target_decay,pistol,3.738s,5,1,0.2,25,250,0.1,false
16,02:11:31.035,target_decay,pistol,8.994s,11,1,0.091,25,550,0.045,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,16,400.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,16
Deaths:,0
Fight Time:,42.502998
Avg TTK:,0
Damage Done:,400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,382.089539
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:10:34.251
Pause Count:,8
Pause Duration:,54

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.580887
Resolution Scale,100.0
