Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:11:42.200,target_decay,pistol,3.293s,5,1,0.2,25,250,0.1,false
2,02:11:42.971,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,02:11:49.215,target_decay,pistol,5.52s,7,1,0.143,25,350,0.071,false
4,02:11:50.041,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,02:11:51.722,target_decay,pistol,0.92s,2,1,0.5,25,100,0.25,false
6,02:11:53.331,target_decay,pistol,0.838s,2,1,0.5,25,100,0.25,false
7,02:11:59.473,target_decay,pistol,5.335s,8,1,0.125,25,400,0.062,false
8,02:12:07.502,target_decay,pistol,7.179s,9,1,0.111,25,450,0.056,false
9,02:12:09.040,target_decay,pistol,0.782s,2,1,0.5,25,100,0.25,false
10,02:12:12.461,target_decay,pistol,1.556s,3,1,0.333,25,150,0.167,false
11,02:12:15.883,target_decay,pistol,2.334s,4,1,0.25,25,200,0.125,false
12,02:12:16.657,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,02:12:19.119,target_decay,pistol,1.73s,3,1,0.333,25,150,0.167,false
14,02:12:19.941,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,02:12:22.544,target_decay,pistol,1.753s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,15,375.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,31.24
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,330.882355
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:11:38.169
Pause Count:,9
Pause Duration:,55

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.651993
Resolution Scale,100.0
