Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:14:55.340,target_decay,pistol,0.891s,2,1,0.5,25,100,0.25,false
2,02:14:58.984,target_decay,pistol,2.86s,4,1,0.25,25,200,0.125,false
3,02:14:59.725,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,02:15:09.614,target_decay,pistol,9.059s,10,1,0.1,25,500,0.05,false
5,02:15:10.505,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,02:15:12.191,target_decay,pistol,1.59s,3,1,0.333,25,150,0.167,false
7,02:15:13.041,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,02:15:16.526,target_decay,pistol,2.688s,4,1,0.25,25,200,0.125,false
9,02:15:18.308,target_decay,pistol,0.978s,2,1,0.5,25,100,0.25,false
10,02:15:21.896,target_decay,pistol,2.73s,4,1,0.25,25,200,0.125,false
11,02:15:22.637,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,02:15:27.063,target_decay,pistol,3.548s,6,1,0.167,25,300,0.083,false
13,02:15:34.334,target_decay,pistol,6.427s,8,1,0.125,25,400,0.062,false
14,02:15:38.735,target_decay,pistol,3.27s,4,1,0.25,25,200,0.125,false
15,02:15:39.585,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,15,375.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,34.042999
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,340.909088
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:14:53.068
Pause Count:,12
Pause Duration:,61

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.390167
Resolution Scale,100.0
