Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:33:53.032,target_decay,pistol,1.63s,3,1,0.333,25,150,0.167,false
2,22:34:03.680,target_decay,pistol,9.83s,11,1,0.091,25,550,0.045,false
3,22:34:04.434,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,22:34:05.250,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,22:34:06.051,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,22:34:10.427,target_decay,pistol,3.672s,5,1,0.2,25,250,0.1,false
7,22:34:13.001,target_decay,pistol,1.811s,3,1,0.333,25,150,0.167,false
8,22:34:13.773,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,22:34:16.372,target_decay,pistol,1.677s,3,1,0.333,25,150,0.167,false
10,22:34:22.646,target_decay,pistol,5.494s,7,1,0.143,25,350,0.071,false
11,22:34:30.637,target_decay,pistol,7.064s,9,1,0.111,25,450,0.056,false
12,22:34:33.222,target_decay,pistol,1.69s,3,1,0.333,25,150,0.167,false
13,22:34:37.564,target_decay,pistol,3.589s,5,1,0.2,25,250,0.1,false
14,22:34:38.253,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,22:34:40.756,target_decay,pistol,1.67s,3,1,0.333,25,150,0.167,false
16,22:34:43.346,target_decay,pistol,1.862s,3,1,0.333,25,150,0.167,false
17,22:34:44.106,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,22:34:44.870,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,22:34:47.473,target_decay,pistol,1.893s,3,1,0.333,25,150,0.167,false
20,22:34:48.269,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,20,500.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,41.882
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,588.235291
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,22:33:50.693
Pause Count:,38
Pause Duration:,138

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.038055
Resolution Scale,100.0
