Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:16:08.651,target_decay,pistol,5.382s,6,1,0.167,25,300,0.083,false
2,02:16:12.968,target_decay,pistol,3.595s,5,1,0.2,25,250,0.1,false
3,02:16:19.033,target_decay,pistol,5.305s,7,1,0.143,25,350,0.071,false
4,02:16:20.628,target_decay,pistol,0.794s,2,1,0.5,25,100,0.25,false
5,02:16:24.912,target_decay,pistol,3.522s,5,1,0.2,25,250,0.1,false
6,02:16:27.384,target_decay,pistol,1.723s,3,1,0.333,25,150,0.167,false
7,02:16:29.889,target_decay,pistol,1.709s,3,1,0.333,25,150,0.167,false
8,02:16:30.654,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,02:16:34.992,target_decay,pistol,3.608s,5,1,0.2,25,250,0.1,false
10,02:16:35.744,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,02:16:37.313,target_decay,pistol,0.794s,2,1,0.5,25,100,0.25,false
12,02:16:47.969,target_decay,pistol,9.76s,13,1,0.077,25,650,0.038,false
13,02:16:51.381,target_decay,pistol,2.646s,4,1,0.25,25,200,0.125,false
14,02:16:52.106,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
15,02:16:57.270,target_decay,pistol,4.438s,6,1,0.167,25,300,0.083,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,15,375.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,43.277
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,321.428589
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:16:02.761
Pause Count:,7
Pause Duration:,21

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,201.011414
Resolution Scale,100.0
