Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:17:12.960,target_decay,pistol,6.043s,7,1,0.143,25,350,0.071,false
2,02:17:15.509,target_decay,pistol,1.775s,3,1,0.333,25,150,0.167,false
3,02:17:25.193,target_decay,pistol,8.843s,12,1,0.083,25,600,0.042,false
4,02:17:31.378,target_decay,pistol,5.405s,7,1,0.143,25,350,0.071,false
5,02:17:34.954,target_decay,pistol,2.791s,4,1,0.25,25,200,0.125,false
6,02:17:35.712,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,02:17:38.206,target_decay,pistol,1.679s,3,1,0.333,25,150,0.167,false
8,02:17:58.872,target_decay,pistol,18.984s,22,1,0.045,25,1100,0.023,false
9,02:18:03.361,target_decay,pistol,3.694s,5,1,0.2,25,250,0.1,false
10,02:18:05.060,target_decay,pistol,0.878s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,10,250.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,10
Deaths:,0
Fight Time:,50.091999
Avg TTK:,0
Damage Done:,250.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,149.253723
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:17:06.249
Pause Count:,8
Pause Duration:,22

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,200.493301
Resolution Scale,100.0
