Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:12:25.087,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,20:12:27.642,target_decay,pistol,1.753s,3,1,0.333,25,150,0.167,false
3,20:12:28.443,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,20:12:29.157,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,20:12:29.921,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,20:12:35.322,target_decay,pistol,4.423s,6,1,0.167,25,300,0.083,false
7,20:12:37.151,target_decay,pistol,1.081s,2,1,0.5,25,100,0.25,false
8,20:12:42.439,target_decay,pistol,4.446s,6,1,0.167,25,300,0.083,false
9,20:12:43.205,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,20:12:50.416,target_decay,pistol,6.341s,8,1,0.125,25,400,0.062,false
11,20:12:51.217,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,20:12:57.410,target_decay,pistol,5.375s,7,1,0.143,25,350,0.071,false
13,20:13:00.928,target_decay,pistol,2.745s,4,1,0.25,25,200,0.125,false
14,20:13:01.671,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,20:13:02.409,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
16,20:13:03.170,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,20:13:03.924,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,20:13:07.366,target_decay,pistol,2.679s,4,1,0.25,25,200,0.125,false
19,20:13:18.969,target_decay,pistol,10.799s,14,1,0.071,25,700,0.036,false
20,20:13:19.709,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,20:13:21.333,target_decay,pistol,0.751s,2,1,0.5,25,100,0.25,false
22,20:13:22.987,target_decay,pistol,0.837s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,22,550.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,41.230999
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,691.428589
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:12:24.621
Pause Count:,41
Pause Duration:,1196

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.371277
Resolution Scale,100.0
