Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:13:29.362,target_decay,pistol,0.901s,2,1,0.5,25,100,0.25,false
2,20:13:33.896,target_decay,pistol,3.712s,5,1,0.2,25,250,0.1,false
3,20:13:35.621,target_decay,pistol,0.638s,2,1,0.5,25,100,0.25,false
4,20:13:37.246,target_decay,pistol,0.733s,2,1,0.5,25,100,0.25,false
5,20:13:38.920,target_decay,pistol,0.882s,2,1,0.5,25,100,0.25,false
6,20:13:39.655,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,20:13:40.432,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,20:13:41.166,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,20:13:44.754,target_decay,pistol,2.808s,4,1,0.25,25,200,0.125,false
10,20:13:47.330,target_decay,pistol,0.752s,2,1,0.5,25,100,0.25,false
11,20:13:49.985,target_decay,pistol,1.854s,3,1,0.333,25,150,0.167,false
12,20:13:53.500,target_decay,pistol,0.867s,2,1,0.5,25,100,0.25,false
13,20:13:55.233,target_decay,pistol,0.94s,2,1,0.5,25,100,0.25,false
14,20:14:02.377,target_decay,pistol,6.38s,8,1,0.125,25,400,0.062,false
15,20:14:04.023,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,20:14:04.863,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,20:14:05.628,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,20:14:08.182,target_decay,pistol,1.706s,3,1,0.333,25,150,0.167,false
19,20:14:08.945,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
20,20:14:15.147,target_decay,pistol,5.391s,6,1,0.167,25,300,0.083,false
21,20:14:19.506,target_decay,pistol,3.586s,5,1,0.2,25,250,0.1,false
22,20:14:20.223,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,20:14:27.333,target_decay,pistol,6.299s,8,1,0.125,25,400,0.062,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,23,575.0,3200.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,37.450001
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,826.5625
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:13:27.880
Pause Count:,42
Pause Duration:,1197

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.940598
Resolution Scale,100.0
