Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:15:39.826,target_decay,pistol,3.516s,3,1,0.333,25,150,0.167,false
2,20:15:41.491,target_decay,pistol,0.85s,2,1,0.5,25,100,0.25,false
3,20:15:43.173,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,20:15:44.870,target_decay,pistol,0.82s,2,1,0.5,25,100,0.25,false
5,20:15:47.409,target_decay,pistol,1.764s,3,1,0.333,25,150,0.167,false
6,20:15:54.547,target_decay,pistol,6.204s,6,1,0.167,25,300,0.083,false
7,20:15:55.411,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,20:15:56.178,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,20:15:57.853,target_decay,pistol,0.81s,2,1,0.5,25,100,0.25,false
10,20:16:03.117,target_decay,pistol,4.418s,6,1,0.167,25,300,0.083,false
11,20:16:08.508,target_decay,pistol,4.677s,6,1,0.167,25,300,0.083,false
12,20:16:09.295,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,20:16:10.174,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,20:16:10.949,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,20:16:12.576,target_decay,pistol,0.798s,2,1,0.5,25,100,0.25,false
16,20:16:13.393,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
17,20:16:15.951,target_decay,pistol,1.751s,3,1,0.333,25,150,0.167,false
18,20:16:18.491,target_decay,pistol,1.745s,3,1,0.333,25,150,0.167,false
19,20:16:20.124,target_decay,pistol,0.824s,2,1,0.5,25,100,0.25,false
20,20:16:20.852,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,20:16:26.245,target_decay,pistol,3.714s,7,1,0.143,25,350,0.071,false
22,20:16:27.035,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,20:16:27.828,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
24,20:16:30.503,target_decay,pistol,1.702s,2,1,0.5,25,100,0.25,false
25,20:16:34.009,target_decay,pistol,2.684s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,25,625.0,3250.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,25
Deaths:,0
Fight Time:,36.278999
Avg TTK:,0
Damage Done:,625.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,961.538452
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:15:34.810
Pause Count:,44
Pause Duration:,1199

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.221603
Resolution Scale,100.0
