Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:43:09.155,target_decay,pistol,79.353s,8,1,0.125,25,400,0.062,false
2,20:43:10.838,target_decay,pistol,0.915s,2,1,0.5,25,100,0.25,false
3,20:43:22.421,target_decay,pistol,10.824s,12,1,0.083,25,600,0.042,false
4,20:43:40.269,target_decay,pistol,17.074s,11,1,0.091,25,550,0.045,false
5,20:43:41.033,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,20:43:42.711,target_decay,pistol,0.858s,2,1,0.5,25,100,0.25,false
7,20:43:44.328,target_decay,pistol,0.912s,2,1,0.5,25,100,0.25,false
8,20:43:46.004,target_decay,pistol,0.889s,2,1,0.5,25,100,0.25,false
9,20:43:53.063,target_decay,pistol,6.362s,8,1,0.125,25,400,0.062,false
10,20:43:53.885,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,20:43:55.538,target_decay,pistol,0.874s,2,1,0.5,25,100,0.25,false
12,20:44:00.000,target_decay,pistol,3.657s,6,1,0.167,25,300,0.083,false
13,20:44:03.501,target_decay,pistol,2.732s,4,1,0.25,25,200,0.125,false
14,20:44:05.205,target_decay,pistol,0.914s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,14,350.0,3200.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,14
Deaths:,0
Fight Time:,125.363998
Avg TTK:,0
Damage Done:,350.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,306.25
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:43:38.181
Pause Count:,23
Pause Duration:,614

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,224.514725
Resolution Scale,100.0
