Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:48:19.568,target_decay,pistol,0.792s,2,1,0.5,25,100,0.25,false
2,20:48:23.057,target_decay,pistol,2.763s,3,1,0.333,25,150,0.167,false
3,20:48:23.872,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,20:48:24.636,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,20:49:02.167,target_decay,pistol,36.812s,7,1,0.143,25,350,0.071,false
6,20:49:03.107,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,20:49:10.250,target_decay,pistol,5.323s,9,1,0.111,25,450,0.056,false
8,20:49:11.030,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,20:49:11.823,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,20:49:15.427,target_decay,pistol,2.809s,4,1,0.25,25,200,0.125,false
11,20:49:19.882,target_decay,pistol,3.721s,5,1,0.2,25,250,0.1,false
12,20:49:20.712,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,20:49:21.544,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,20:49:26.799,target_decay,pistol,4.477s,6,1,0.167,25,300,0.083,false
15,20:49:30.216,target_decay,pistol,2.671s,4,1,0.25,25,200,0.125,false
16,20:49:31.931,target_decay,pistol,1.048s,3,1,0.333,25,150,0.167,false
17,20:49:35.504,target_decay,pistol,2.791s,4,1,0.25,25,200,0.125,false
18,20:49:37.183,target_decay,pistol,0.873s,2,1,0.5,25,100,0.25,false
19,20:49:38.872,target_decay,pistol,0.886s,2,1,0.5,25,100,0.25,false
20,20:49:40.693,target_decay,pistol,1.02s,2,1,0.5,25,100,0.25,false
21,20:49:44.164,target_decay,pistol,2.714s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,21,525.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,68.699997
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,658.208984
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:48:59.555
Pause Count:,30
Pause Duration:,713

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,223.710266
Resolution Scale,100.0
