Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:13:50.853,target_decay,pistol,0.922s,2,1,0.5,25,100,0.25,false
2,19:13:54.386,target_decay,pistol,2.734s,4,1,0.25,25,200,0.125,false
3,19:13:59.675,target_decay,pistol,4.362s,5,1,0.2,25,250,0.1,false
4,19:14:05.933,target_decay,pistol,5.402s,5,1,0.2,25,250,0.1,false
5,19:14:09.415,target_decay,pistol,2.604s,4,1,0.25,25,200,0.125,false
6,19:14:12.873,target_decay,pistol,2.625s,4,1,0.25,25,200,0.125,false
7,19:14:15.449,target_decay,pistol,1.773s,3,1,0.333,25,150,0.167,false
8,19:14:17.161,target_decay,pistol,0.89s,2,1,0.5,25,100,0.25,false
9,19:14:17.938,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,19:14:28.700,target_decay,pistol,9.931s,11,1,0.091,25,550,0.045,false
11,19:14:33.948,target_decay,pistol,4.361s,5,1,0.2,25,250,0.1,false
12,19:14:41.968,target_decay,pistol,7.11s,8,1,0.125,25,400,0.062,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,58,12,300.0,2900.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,12
Deaths:,0
Fight Time:,42.714001
Avg TTK:,0
Damage Done:,300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,248.275864
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,19:13:47.634
Pause Count:,38
Pause Duration:,1782

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.291168
Resolution Scale,100.0
