Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:39:30.172,target_decay,pistol,11.534s,12,1,0.083,25,600,0.042,false
2,22:39:38.242,target_decay,pistol,7.029s,9,1,0.111,25,450,0.056,false
3,22:39:41.793,target_decay,pistol,2.793s,3,1,0.333,25,150,0.167,false
4,22:39:43.475,target_decay,pistol,0.842s,2,1,0.5,25,100,0.25,false
5,22:39:49.724,target_decay,pistol,5.402s,7,1,0.143,25,350,0.071,false
6,22:39:51.388,target_decay,pistol,0.773s,2,1,0.5,25,100,0.25,false
7,22:39:57.603,target_decay,pistol,5.427s,6,1,0.167,25,300,0.083,false
8,22:40:01.086,target_decay,pistol,2.765s,4,1,0.25,25,200,0.125,false
9,22:40:01.931,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,22:40:12.687,target_decay,pistol,9.977s,12,1,0.083,25,600,0.042,false
11,22:40:15.308,target_decay,pistol,1.883s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,63,11,275.0,3150.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,11
Deaths:,0
Fight Time:,48.424999
Avg TTK:,0
Damage Done:,275.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,192.063492
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,22:39:17.833
Pause Count:,8
Pause Duration:,847

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,218.489731
Resolution Scale,100.0
