Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:42:04.884,target_decay,pistol,2.579s,3,1,0.333,25,150,0.167,false
2,21:42:08.233,target_decay,pistol,2.544s,4,1,0.25,25,200,0.125,false
3,21:42:09.094,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,21:42:15.321,target_decay,pistol,5.512s,7,1,0.143,25,350,0.071,false
5,21:42:17.939,target_decay,pistol,1.793s,3,1,0.333,25,150,0.167,false
6,21:42:19.635,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,21:42:23.176,target_decay,pistol,2.447s,3,1,0.333,25,150,0.167,false
8,21:42:23.920,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,21:42:26.513,target_decay,pistol,1.806s,3,1,0.333,25,150,0.167,false
10,21:42:27.329,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,21:42:28.104,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,21:42:30.700,target_decay,pistol,1.723s,3,1,0.333,25,150,0.167,false
13,21:42:32.440,target_decay,pistol,0.867s,2,1,0.5,25,100,0.25,false
14,21:42:35.113,target_decay,pistol,1.866s,3,1,0.333,25,150,0.167,false
15,21:42:35.901,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
16,21:42:37.571,target_decay,pistol,0.831s,2,1,0.5,25,100,0.25,false
17,21:42:42.916,target_decay,pistol,4.532s,6,1,0.167,25,300,0.083,false
18,21:42:46.364,target_decay,pistol,2.596s,4,1,0.25,25,200,0.125,false
19,21:42:47.119,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,21:42:48.712,target_decay,pistol,0.83s,2,1,0.5,25,100,0.25,false
21,21:42:53.960,target_decay,pistol,4.419s,6,1,0.167,25,300,0.083,false
22,21:42:57.336,target_decay,pistol,2.567s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,22,550.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,36.912998
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,733.333374
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,21:42:01.684
Pause Count:,54
Pause Duration:,158

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.60083
Resolution Scale,100.0
