Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:44:10.672,target_decay,pistol,1.773s,3,1,0.333,25,150,0.167,false
2,21:44:15.051,target_decay,pistol,3.556s,5,1,0.2,25,250,0.1,false
3,21:44:18.566,target_decay,pistol,1.435s,3,1,0.333,25,150,0.167,false
4,21:44:22.963,target_decay,pistol,3.545s,5,1,0.2,25,250,0.1,false
5,21:44:23.809,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
6,21:44:28.343,target_decay,pistol,3.56s,5,1,0.2,25,250,0.1,false
7,21:44:31.931,target_decay,pistol,2.791s,4,1,0.25,25,200,0.125,false
8,21:44:32.804,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,21:44:33.581,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,21:44:36.286,target_decay,pistol,0.954s,2,1,0.5,25,100,0.25,false
11,21:44:42.579,target_decay,pistol,5.455s,7,1,0.143,25,350,0.071,false
12,21:44:47.132,target_decay,pistol,2.736s,3,1,0.333,25,150,0.167,false
13,21:44:49.008,target_decay,pistol,0.602s,2,1,0.5,25,100,0.25,false
14,21:44:51.707,target_decay,pistol,1.8s,3,1,0.333,25,150,0.167,false
15,21:44:56.283,target_decay,pistol,3.736s,5,1,0.2,25,250,0.1,false
16,21:44:58.915,target_decay,pistol,1.872s,3,1,0.333,25,150,0.167,false
17,21:45:00.594,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,21:45:03.171,target_decay,pistol,1.807s,3,1,0.333,25,150,0.167,false
19,21:45:04.008,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,21:45:06.647,target_decay,pistol,1.831s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,20,500.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,37.453999
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,645.161255
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,21:44:08.335
Pause Count:,56
Pause Duration:,160

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.157227
Resolution Scale,100.0
