Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:45:14.909,target_decay,pistol,2.693s,4,1,0.25,25,200,0.125,false
2,21:45:15.706,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,21:45:21.849,target_decay,pistol,5.331s,7,1,0.143,25,350,0.071,false
4,21:45:27.104,target_decay,pistol,4.42s,6,1,0.167,25,300,0.083,false
5,21:45:29.648,target_decay,pistol,1.693s,3,1,0.333,25,150,0.167,false
6,21:45:32.215,target_decay,pistol,1.765s,3,1,0.333,25,150,0.167,false
7,21:45:33.015,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,21:45:41.037,target_decay,pistol,7.203s,8,1,0.125,25,400,0.062,false
9,21:45:45.490,target_decay,pistol,3.629s,6,1,0.167,25,300,0.083,false
10,21:45:46.285,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,21:45:49.765,target_decay,pistol,1.778s,3,1,0.333,25,150,0.167,false
12,21:45:50.629,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,21:45:53.278,target_decay,pistol,1.86s,3,1,0.333,25,150,0.167,false
14,21:45:58.578,target_decay,pistol,4.487s,6,1,0.167,25,300,0.083,false
15,21:46:01.341,target_decay,pistol,1.921s,3,1,0.333,25,150,0.167,false
16,21:46:03.044,target_decay,pistol,0.845s,2,1,0.5,25,100,0.25,false
17,21:46:09.486,target_decay,pistol,4.402s,6,1,0.167,25,300,0.083,false
18,21:46:11.166,target_decay,pistol,0.825s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,18,450.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,42.852001
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,490.909119
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,21:45:11.733
Pause Count:,57
Pause Duration:,161

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.872742
Resolution Scale,100.0
