Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:46:19.924,target_decay,pistol,3.631s,5,1,0.2,25,250,0.1,false
2,21:46:21.604,target_decay,pistol,0.702s,2,1,0.5,25,100,0.25,false
3,21:46:22.410,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
4,21:46:25.818,target_decay,pistol,2.632s,4,1,0.25,25,200,0.125,false
5,21:46:27.514,target_decay,pistol,0.883s,2,1,0.5,25,100,0.25,false
6,21:46:28.304,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,21:46:29.065,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,21:46:29.875,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,21:46:31.578,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,21:46:34.230,target_decay,pistol,1.8s,2,1,0.5,25,100,0.25,false
11,21:46:38.640,target_decay,pistol,2.761s,3,1,0.333,25,150,0.167,false
12,21:46:43.922,target_decay,pistol,4.418s,6,1,0.167,25,300,0.083,false
13,21:46:50.127,target_decay,pistol,5.43s,6,1,0.167,25,300,0.083,false
14,21:46:52.033,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,21:46:53.719,target_decay,pistol,0.927s,2,1,0.5,25,100,0.25,false
16,21:47:00.765,target_decay,pistol,6.241s,8,1,0.125,25,400,0.062,false
17,21:47:02.460,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,21:47:09.646,target_decay,pistol,6.395s,8,1,0.125,25,400,0.062,false
19,21:47:13.103,target_decay,pistol,2.591s,3,1,0.333,25,150,0.167,false
20,21:47:13.811,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,21:47:14.605,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,61,21,525.0,3050.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,38.412998
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,722.950806
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,21:46:15.769
Pause Count:,58
Pause Duration:,162

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.426239
Resolution Scale,100.0
