Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:48:46.622,target_decay,pistol,1.333s,3,1,0.333,25,150,0.167,false
2,00:48:53.763,target_decay,pistol,6.332s,8,1,0.125,25,400,0.062,false
3,00:48:59.261,target_decay,pistol,4.717s,6,1,0.167,25,300,0.083,false
4,00:49:02.663,target_decay,pistol,2.614s,4,1,0.25,25,200,0.125,false
5,00:49:05.243,target_decay,pistol,1.746s,3,1,0.333,25,150,0.167,false
6,00:49:07.768,target_decay,pistol,1.689s,3,1,0.333,25,150,0.167,false
7,00:49:08.526,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,00:49:09.367,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,00:49:12.776,target_decay,pistol,2.489s,4,1,0.25,25,200,0.125,false
10,00:49:17.175,target_decay,pistol,3.566s,6,1,0.167,25,300,0.083,false
11,00:49:19.689,target_decay,pistol,1.707s,3,1,0.333,25,150,0.167,false
12,00:49:20.517,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,00:49:22.190,target_decay,pistol,0.884s,2,1,0.5,25,100,0.25,false
14,00:49:24.793,target_decay,pistol,1.804s,3,1,0.333,25,150,0.167,false
15,00:49:25.679,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
16,00:49:29.135,target_decay,pistol,2.617s,4,1,0.25,25,200,0.125,false
17,00:49:29.879,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,00:49:42.373,target_decay,pistol,11.657s,15,1,0.067,25,750,0.033,false
19,00:49:43.151,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
20,00:49:43.913,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,20,500.0,3550.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,43.157001
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,563.38031
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,00:48:44.323
Pause Count:,10
Pause Duration:,1283

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.688019
Resolution Scale,100.0
