Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:49:49.368,target_decay,pistol,0.91s,2,1,0.5,25,100,0.25,false
2,00:49:50.095,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
3,00:49:58.031,target_decay,pistol,7.171s,9,1,0.111,25,450,0.056,false
4,00:49:58.812,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,00:49:59.581,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
6,00:50:02.073,target_decay,pistol,1.584s,3,1,0.333,25,150,0.167,false
7,00:50:03.713,target_decay,pistol,0.849s,2,1,0.5,25,100,0.25,false
8,00:50:04.474,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,00:50:05.232,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,00:50:07.899,target_decay,pistol,1.894s,2,1,0.5,25,100,0.25,false
11,00:50:09.510,target_decay,pistol,0.803s,2,1,0.5,25,100,0.25,false
12,00:50:10.285,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,00:50:11.929,target_decay,pistol,0.884s,2,1,0.5,25,100,0.25,false
14,00:50:12.664,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,00:50:17.961,target_decay,pistol,3.608s,5,1,0.2,25,250,0.1,false
16,00:50:19.665,target_decay,pistol,0.94s,2,1,0.5,25,100,0.25,false
17,00:50:22.256,target_decay,pistol,1.844s,3,1,0.333,25,150,0.167,false
18,00:50:23.059,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,00:50:27.423,target_decay,pistol,3.619s,5,1,0.2,25,250,0.1,false
20,00:50:29.161,target_decay,pistol,0.664s,2,1,0.5,25,100,0.25,false
21,00:50:31.986,target_decay,pistol,2.073s,3,1,0.333,25,150,0.167,false
22,00:50:35.545,target_decay,pistol,2.765s,4,1,0.25,25,200,0.125,false
23,00:50:36.369,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,00:50:37.975,target_decay,pistol,0.833s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,24,600.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,24
Deaths:,0
Fight Time:,30.443001
Avg TTK:,0
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,834.782654
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,00:49:47.966
Pause Count:,11
Pause Duration:,1284

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.897812
Resolution Scale,100.0
