Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:51:57.302,target_decay,pistol,1.727s,4,1,0.25,25,200,0.125,false
2,00:52:03.469,target_decay,pistol,5.412s,7,1,0.143,25,350,0.071,false
3,00:52:04.249,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,00:52:09.462,target_decay,pistol,4.457s,6,1,0.167,25,300,0.083,false
5,00:52:17.504,target_decay,pistol,7.21s,7,1,0.143,25,350,0.071,false
6,00:52:21.090,target_decay,pistol,2.829s,4,1,0.25,25,200,0.125,false
7,00:52:23.696,target_decay,pistol,1.557s,3,1,0.333,25,150,0.167,false
8,00:52:24.464,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
9,00:52:27.043,target_decay,pistol,1.811s,3,1,0.333,25,150,0.167,false
10,00:52:28.785,target_decay,pistol,0.755s,2,1,0.5,25,100,0.25,false
11,00:52:32.350,target_decay,pistol,2.812s,5,1,0.2,25,250,0.1,false
12,00:52:33.111,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,00:52:35.589,target_decay,pistol,1.672s,3,1,0.333,25,150,0.167,false
14,00:52:38.214,target_decay,pistol,1.847s,2,1,0.5,25,100,0.25,false
15,00:52:38.986,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,00:52:41.563,target_decay,pistol,1.514s,3,1,0.333,25,150,0.167,false
17,00:52:45.155,target_decay,pistol,2.801s,3,1,0.333,25,150,0.167,false
18,00:52:45.914,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,00:52:48.592,target_decay,pistol,0.929s,2,1,0.5,25,100,0.25,false
20,00:52:52.088,target_decay,pistol,2.711s,3,1,0.333,25,150,0.167,false
21,00:52:52.832,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,21,525.0,3250.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,40.044998
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,678.461548
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,00:51:55.079
Pause Count:,13
Pause Duration:,1286

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.855515
Resolution Scale,100.0
