Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:53:00.023,target_decay,pistol,0.795s,2,1,0.5,25,100,0.25,false
2,00:53:02.550,target_decay,pistol,1.736s,3,1,0.333,25,150,0.167,false
3,00:53:06.108,target_decay,pistol,2.343s,4,1,0.25,25,200,0.125,false
4,00:53:13.382,target_decay,pistol,6.458s,9,1,0.111,25,450,0.056,false
5,00:53:14.192,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,00:53:14.977,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,00:53:15.711,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,00:53:20.150,target_decay,pistol,3.69s,6,1,0.167,25,300,0.083,false
9,00:53:20.952,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,00:53:24.447,target_decay,pistol,1.736s,3,1,0.333,25,150,0.167,false
11,00:53:33.326,target_decay,pistol,8.089s,10,1,0.1,25,500,0.05,false
12,00:53:42.115,target_decay,pistol,7.989s,9,1,0.111,25,450,0.056,false
13,00:53:44.707,target_decay,pistol,1.795s,3,1,0.333,25,150,0.167,false
14,00:53:47.311,target_decay,pistol,1.832s,3,1,0.333,25,150,0.167,false
15,00:53:48.065,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,00:53:50.652,target_decay,pistol,1.768s,3,1,0.333,25,150,0.167,false
17,00:53:53.249,target_decay,pistol,1.827s,3,1,0.333,25,150,0.167,false
18,00:53:55.100,target_decay,pistol,0.67s,2,1,0.5,25,100,0.25,false
19,00:53:55.995,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
20,00:53:56.726,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,00:53:57.507,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,21,525.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,40.729
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,639.130432
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,00:52:58.696
Pause Count:,14
Pause Duration:,1287

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.062592
Resolution Scale,100.0
