Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:48:55.944,target_decay,pistol,0.744s,2,1,0.5,25,100,0.25,false
2,05:48:58.531,target_decay,pistol,1.806s,3,1,0.333,25,150,0.167,false
3,05:48:59.325,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,05:49:01.900,target_decay,pistol,1.805s,3,1,0.333,25,150,0.167,false
5,05:49:07.151,target_decay,pistol,4.377s,6,1,0.167,25,300,0.083,false
6,05:49:08.029,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,05:49:08.848,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,05:49:10.467,target_decay,pistol,0.728s,2,1,0.5,25,100,0.25,false
9,05:49:11.291,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,05:49:13.007,target_decay,pistol,0.961s,2,1,0.5,25,100,0.25,false
11,05:49:21.074,target_decay,pistol,7.245s,8,1,0.125,25,400,0.062,false
12,05:49:21.823,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,05:49:22.593,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,05:49:27.001,target_decay,pistol,3.644s,5,1,0.2,25,250,0.1,false
15,05:49:31.443,target_decay,pistol,3.686s,5,1,0.2,25,250,0.1,false
16,05:49:33.958,target_decay,pistol,1.695s,3,1,0.333,25,150,0.167,false
17,05:49:34.727,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,05:49:35.476,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,05:49:36.237,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,05:49:39.649,target_decay,pistol,2.59s,4,1,0.25,25,200,0.125,false
21,05:49:41.288,target_decay,pistol,0.815s,2,1,0.5,25,100,0.25,false
22,05:49:43.887,target_decay,pistol,1.83s,3,1,0.333,25,150,0.167,false
23,05:49:45.537,target_decay,pistol,0.852s,2,1,0.5,25,100,0.25,false
24,05:49:46.330,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,05:49:47.952,target_decay,pistol,0.842s,2,1,0.5,25,100,0.25,false
26,05:49:49.651,target_decay,pistol,0.796s,2,1,0.5,25,100,0.25,false
27,05:49:50.438,target_decay,pistol,0s,1,1,1,25,50,0.5,false
28,05:49:51.170,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,28,700.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,28
Deaths:,0
Fight Time:,34.416
Avg TTK:,0
Damage Done:,700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1136.231812
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,05:48:54.551
Pause Count:,27
Pause Duration:,272

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.629593
Resolution Scale,100.0
