Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:51:06.464,target_decay,pistol,1.686s,2,1,0.5,25,100,0.25,false
2,05:51:09.010,target_decay,pistol,1.771s,3,1,0.333,25,150,0.167,false
3,05:51:13.380,target_decay,pistol,3.328s,5,1,0.2,25,250,0.1,false
4,05:51:16.835,target_decay,pistol,2.71s,4,1,0.25,25,200,0.125,false
5,05:51:17.646,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,05:51:29.276,target_decay,pistol,10.785s,11,1,0.091,25,550,0.045,false
7,05:51:31.814,target_decay,pistol,1.716s,3,1,0.333,25,150,0.167,false
8,05:51:34.474,target_decay,pistol,1.879s,2,1,0.5,25,100,0.25,false
9,05:51:35.235,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,05:51:39.646,target_decay,pistol,3.594s,5,1,0.2,25,250,0.1,false
11,05:51:46.820,target_decay,pistol,6.343s,7,1,0.143,25,350,0.071,false
12,05:51:51.351,target_decay,pistol,3.701s,3,1,0.333,25,150,0.167,false
13,05:51:57.539,target_decay,pistol,5.38s,8,1,0.125,25,400,0.062,false
14,05:51:59.159,target_decay,pistol,0.809s,2,1,0.5,25,100,0.25,false
15,05:52:01.701,target_decay,pistol,1.732s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,15,375.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,45.433998
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,362.903229
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,05:51:04.155
Pause Count:,29
Pause Duration:,275

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.597855
Resolution Scale,100.0
