Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:53:11.929,target_decay,pistol,0.864s,2,1,0.5,25,100,0.25,false
2,05:53:18.101,target_decay,pistol,5.377s,6,1,0.167,25,300,0.083,false
3,05:53:20.674,target_decay,pistol,1.762s,3,1,0.333,25,150,0.167,false
4,05:53:21.479,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,05:53:22.270,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,05:53:23.858,target_decay,pistol,0.812s,2,1,0.5,25,100,0.25,false
7,05:53:30.931,target_decay,pistol,6.126s,8,1,0.125,25,400,0.062,false
8,05:53:34.417,target_decay,pistol,2.703s,4,1,0.25,25,200,0.125,false
9,05:53:35.220,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,05:53:35.967,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,05:53:44.932,target_decay,pistol,8.229s,9,1,0.111,25,450,0.056,false
12,05:53:46.583,target_decay,pistol,0.889s,2,1,0.5,25,100,0.25,false
13,05:53:48.229,target_decay,pistol,0.879s,2,1,0.5,25,100,0.25,false
14,05:53:55.323,target_decay,pistol,6.31s,8,1,0.125,25,400,0.062,false
15,05:53:56.097,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,05:53:56.882,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
17,05:53:57.707,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,05:54:01.113,target_decay,pistol,1.638s,3,1,0.333,25,150,0.167,false
19,05:54:05.464,target_decay,pistol,3.565s,5,1,0.2,25,250,0.1,false
20,05:54:08.051,target_decay,pistol,1.806s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,20,500.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,40.960999
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,606.060608
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,05:53:10.565
Pause Count:,31
Pause Duration:,277

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.891495
Resolution Scale,100.0
