Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:37:16.790,target_decay,pistol,0.648s,2,1,0.5,25,100,0.25,false
2,10:37:20.384,target_decay,pistol,2.78s,4,1,0.25,25,200,0.125,false
3,10:37:22.154,target_decay,pistol,0.976s,2,1,0.5,25,100,0.25,false
4,10:37:33.083,target_decay,pistol,10.107s,12,1,0.083,25,600,0.042,false
5,10:37:36.507,target_decay,pistol,2.671s,4,1,0.25,25,200,0.125,false
6,10:37:38.172,target_decay,pistol,0.825s,2,1,0.5,25,100,0.25,false
7,10:37:38.935,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,10:37:40.753,target_decay,pistol,0.793s,2,1,0.5,25,100,0.25,false
9,10:37:42.507,target_decay,pistol,0.908s,2,1,0.5,25,100,0.25,false
10,10:37:43.339,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
11,10:37:44.180,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,10:37:49.565,target_decay,pistol,4.634s,6,1,0.167,25,300,0.083,false
13,10:37:54.009,target_decay,pistol,3.666s,5,1,0.2,25,250,0.1,false
14,10:37:59.382,target_decay,pistol,3.608s,5,1,0.2,25,250,0.1,false
15,10:38:02.928,target_decay,pistol,2.76s,4,1,0.25,25,200,0.125,false
16,10:38:07.375,target_decay,pistol,3.607s,5,1,0.2,25,250,0.1,false
17,10:38:10.041,target_decay,pistol,1.761s,3,1,0.333,25,150,0.167,false
18,10:38:12.667,target_decay,pistol,1.81s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,18,450.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,41.555
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,490.909119
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,10:37:15.278
Pause Count:,16
Pause Duration:,201

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.205292
Resolution Scale,100.0
