Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:39:45.469,target_decay,pistol,0.852s,2,1,0.5,25,100,0.25,false
2,10:39:55.375,target_decay,pistol,9.074s,11,1,0.091,25,550,0.045,false
3,10:39:59.852,target_decay,pistol,2.722s,3,1,0.333,25,150,0.167,false
4,10:40:02.442,target_decay,pistol,1.803s,3,1,0.333,25,150,0.167,false
5,10:40:03.254,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,10:40:04.970,target_decay,pistol,0.864s,2,1,0.5,25,100,0.25,false
7,10:40:05.750,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,10:40:14.679,target_decay,pistol,8.12s,8,1,0.125,25,400,0.062,false
9,10:40:19.069,target_decay,pistol,3.595s,4,1,0.25,25,200,0.125,false
10,10:40:19.873,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,10:40:27.086,target_decay,pistol,6.33s,8,1,0.125,25,400,0.062,false
12,10:40:29.756,target_decay,pistol,1.836s,3,1,0.333,25,150,0.167,false
13,10:40:30.564,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
14,10:40:33.274,target_decay,pistol,1.037s,2,1,0.5,25,100,0.25,false
15,10:40:34.101,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,10:40:40.440,target_decay,pistol,5.529s,7,1,0.143,25,350,0.071,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,16,400.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,16
Deaths:,0
Fight Time:,41.763
Avg TTK:,0
Damage Done:,400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,412.903198
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,10:39:44.080
Pause Count:,18
Pause Duration:,205

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.082169
Resolution Scale,100.0
