Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:44:07.942,target_decay,pistol,0.994s,2,1,0.5,25,100,0.25,false
2,10:44:08.729,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,10:44:11.380,target_decay,pistol,1.834s,3,1,0.333,25,150,0.167,false
4,10:44:18.629,target_decay,pistol,6.387s,7,1,0.143,25,350,0.071,false
5,10:44:26.594,target_decay,pistol,6.256s,7,1,0.143,25,350,0.071,false
6,10:44:28.236,target_decay,pistol,0.771s,2,1,0.5,25,100,0.25,false
7,10:44:30.863,target_decay,pistol,1.837s,3,1,0.333,25,150,0.167,false
8,10:44:32.643,target_decay,pistol,0.966s,2,1,0.5,25,100,0.25,false
9,10:44:33.401,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,10:44:34.175,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,10:44:35.869,target_decay,pistol,0.808s,2,1,0.5,25,100,0.25,false
12,10:44:36.690,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,10:44:39.266,target_decay,pistol,1.786s,3,1,0.333,25,150,0.167,false
14,10:44:43.586,target_decay,pistol,3.522s,4,1,0.25,25,200,0.125,false
15,10:44:48.808,target_decay,pistol,4.347s,6,1,0.167,25,300,0.083,false
16,10:44:49.594,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
17,10:44:50.372,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,10:44:51.224,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,10:44:52.045,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,10:44:53.669,target_decay,pistol,0.728s,2,1,0.5,25,100,0.25,false
21,10:44:54.456,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,10:44:56.976,target_decay,pistol,1.702s,3,1,0.333,25,150,0.167,false
23,10:44:59.507,target_decay,pistol,1.738s,3,1,0.333,25,150,0.167,false
24,10:45:01.116,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,10:45:03.715,target_decay,pistol,1.758s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,25,625.0,3200.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,25
Deaths:,0
Fight Time:,35.435001
Avg TTK:,0
Damage Done:,625.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,976.5625
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,10:44:05.573
Pause Count:,23
Pause Duration:,217

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,219.113358
Resolution Scale,100.0
