Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:14:20.044,target_decay,pistol,2.562s,4,1,0.25,25,200,0.125,false
2,03:14:24.498,target_decay,pistol,3.712s,3,1,0.333,25,150,0.167,false
3,03:14:25.349,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,03:14:26.950,target_decay,pistol,0.837s,2,1,0.5,25,100,0.25,false
5,03:14:28.554,target_decay,pistol,0.823s,2,1,0.5,25,100,0.25,false
6,03:14:30.158,target_decay,pistol,0.84s,2,1,0.5,25,100,0.25,false
7,03:14:31.784,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,03:14:32.534,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,03:14:41.589,target_decay,pistol,8.232s,10,1,0.1,25,500,0.05,false
10,03:14:45.090,target_decay,pistol,2.623s,4,1,0.25,25,200,0.125,false
11,03:14:46.823,target_decay,pistol,0.951s,2,1,0.5,25,100,0.25,false
12,03:14:47.786,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,03:14:48.633,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
14,03:14:49.481,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,03:14:51.170,target_decay,pistol,0.883s,2,1,0.5,25,100,0.25,false
16,03:14:52.820,target_decay,pistol,0.724s,2,1,0.5,25,100,0.25,false
17,03:14:53.609,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,03:14:58.017,target_decay,pistol,3.555s,5,1,0.2,25,250,0.1,false
19,03:14:58.830,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,03:15:04.165,target_decay,pistol,4.444s,6,1,0.167,25,300,0.083,false
21,03:15:04.994,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,03:15:05.841,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,03:15:07.486,target_decay,pistol,0.775s,2,1,0.5,25,100,0.25,false
24,03:15:08.256,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,03:15:14.526,target_decay,pistol,5.466s,7,1,0.143,25,350,0.071,false
26,03:15:15.310,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,26,650.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,26
Deaths:,0
Fight Time:,36.429001
Avg TTK:,0
Damage Done:,650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1024.242432
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,03:14:16.890
Pause Count:,19
Pause Duration:,629

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.390106
Resolution Scale,100.0
