Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:15:25.985,target_decay,pistol,5.232s,7,1,0.143,25,350,0.071,false
2,03:15:26.854,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,03:15:41.277,target_decay,pistol,13.589s,16,1,0.062,25,800,0.031,false
4,03:15:46.456,target_decay,pistol,4.398s,6,1,0.167,25,300,0.083,false
5,03:15:50.824,target_decay,pistol,3.607s,5,1,0.2,25,250,0.1,false
6,03:15:53.454,target_decay,pistol,1.72s,3,1,0.333,25,150,0.167,false
7,03:15:56.190,target_decay,pistol,1.783s,3,1,0.333,25,150,0.167,false
8,03:16:00.690,target_decay,pistol,3.706s,5,1,0.2,25,250,0.1,false
9,03:16:08.664,target_decay,pistol,7.209s,10,1,0.1,25,500,0.05,false
10,03:16:09.495,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,03:16:12.245,target_decay,pistol,1.937s,3,1,0.333,25,150,0.167,false
12,03:16:13.049,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,03:16:13.838,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,03:16:17.287,target_decay,pistol,2.426s,3,1,0.333,25,150,0.167,false
15,03:16:18.922,target_decay,pistol,0.862s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,15,375.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,46.469002
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,330.882355
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,03:15:20.054
Pause Count:,20
Pause Duration:,630

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.528854
Resolution Scale,100.0
