Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:16:29.498,target_decay,pistol,6.318s,8,1,0.125,25,400,0.062,false
2,03:16:30.293,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,03:16:35.600,target_decay,pistol,4.555s,6,1,0.167,25,300,0.083,false
4,03:16:36.385,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,03:16:43.410,target_decay,pistol,6.226s,8,1,0.125,25,400,0.062,false
6,03:16:45.100,target_decay,pistol,0.674s,2,1,0.5,25,100,0.25,false
7,03:16:47.845,target_decay,pistol,1.619s,3,1,0.333,25,150,0.167,false
8,03:16:50.473,target_decay,pistol,1.729s,3,1,0.333,25,150,0.167,false
9,03:16:51.337,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,03:16:55.686,target_decay,pistol,3.476s,5,1,0.2,25,250,0.1,false
11,03:17:01.848,target_decay,pistol,5.343s,7,1,0.143,25,350,0.071,false
12,03:17:06.163,target_decay,pistol,3.547s,5,1,0.2,25,250,0.1,false
13,03:17:07.810,target_decay,pistol,0.874s,2,1,0.5,25,100,0.25,false
14,03:17:08.608,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,03:17:09.340,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,03:17:10.970,target_decay,pistol,0.871s,2,1,0.5,25,100,0.25,false
17,03:17:12.691,target_decay,pistol,0.899s,2,1,0.5,25,100,0.25,false
18,03:17:16.144,target_decay,pistol,3.247s,5,1,0.2,25,250,0.1,false
19,03:17:22.325,target_decay,pistol,5.392s,7,1,0.143,25,350,0.071,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,19,475.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,44.77
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,515.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,03:16:22.688
Pause Count:,21
Pause Duration:,631

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.790176
Resolution Scale,100.0
