Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:17:30.060,target_decay,pistol,3.667s,6,1,0.167,25,300,0.083,false
2,03:17:30.870,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,03:17:38.905,target_decay,pistol,7.25s,9,1,0.111,25,450,0.056,false
4,03:17:39.694,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,03:17:40.457,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,03:17:42.219,target_decay,pistol,0.995s,2,1,0.5,25,100,0.25,false
7,03:17:43.046,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,03:17:44.942,target_decay,pistol,1.134s,2,1,0.5,25,100,0.25,false
9,03:17:47.584,target_decay,pistol,1.813s,3,1,0.333,25,150,0.167,false
10,03:17:49.287,target_decay,pistol,0.794s,2,1,0.5,25,100,0.25,false
11,03:17:50.072,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,03:17:50.873,target_decay,pistol,0.665s,2,1,0.5,25,100,0.25,false
13,03:17:57.054,target_decay,pistol,5.34s,7,1,0.143,25,350,0.071,false
14,03:18:03.357,target_decay,pistol,5.503s,7,1,0.143,25,350,0.071,false
15,03:18:10.515,target_decay,pistol,6.314s,7,1,0.143,25,350,0.071,false
16,03:18:11.315,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,03:18:12.120,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,03:18:14.691,target_decay,pistol,0.791s,2,1,0.5,25,100,0.25,false
19,03:18:16.284,target_decay,pistol,0.739s,2,1,0.5,25,100,0.25,false
20,03:18:18.034,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,03:18:19.754,target_decay,pistol,0.928s,2,1,0.5,25,100,0.25,false
22,03:18:23.223,target_decay,pistol,2.709s,3,1,0.333,25,150,0.167,false
23,03:18:23.964,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,23,575.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,38.641998
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,789.552246
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,03:17:25.855
Pause Count:,22
Pause Duration:,632

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.704681
Resolution Scale,100.0
