Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:18:29.088,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,03:18:32.591,target_decay,pistol,2.707s,3,1,0.333,25,150,0.167,false
3,03:18:33.365,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
4,03:18:34.163,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,03:18:35.929,target_decay,pistol,0.756s,2,1,0.5,25,100,0.25,false
6,03:18:39.466,target_decay,pistol,2.732s,4,1,0.25,25,200,0.125,false
7,03:18:50.146,target_decay,pistol,9.915s,12,1,0.083,25,600,0.042,false
8,03:18:51.893,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,03:18:55.366,target_decay,pistol,2.607s,4,1,0.25,25,200,0.125,false
10,03:18:57.027,target_decay,pistol,0.782s,2,1,0.5,25,100,0.25,false
11,03:18:58.629,target_decay,pistol,0.821s,2,1,0.5,25,100,0.25,false
12,03:19:01.190,target_decay,pistol,1.775s,3,1,0.333,25,150,0.167,false
13,03:19:05.571,target_decay,pistol,3.541s,5,1,0.2,25,250,0.1,false
14,03:19:07.267,target_decay,pistol,0.919s,3,1,0.333,25,150,0.167,false
15,03:19:08.045,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,03:19:12.414,target_decay,pistol,3.505s,5,1,0.2,25,250,0.1,false
17,03:19:18.567,target_decay,pistol,5.378s,6,1,0.167,25,300,0.083,false
18,03:19:21.181,target_decay,pistol,1.771s,3,1,0.333,25,150,0.167,false
19,03:19:24.707,target_decay,pistol,2.699s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,19,475.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,39.909
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,538.805969
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,03:18:28.592
Pause Count:,23
Pause Duration:,633

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.122803
Resolution Scale,100.0
