Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:06:47.579,target_decay,pistol,0.796s,2,1,0.5,25,100,0.25,false
2,20:06:52.859,target_decay,pistol,4.412s,5,1,0.2,25,250,0.1,false
3,20:06:53.667,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,20:06:56.358,target_decay,pistol,1.864s,3,1,0.333,25,150,0.167,false
5,20:06:58.843,target_decay,pistol,1.66s,3,1,0.333,25,150,0.167,false
6,20:07:01.433,target_decay,pistol,1.757s,3,1,0.333,25,150,0.167,false
7,20:07:03.135,target_decay,pistol,0.888s,2,1,0.5,25,100,0.25,false
8,20:07:06.823,target_decay,pistol,2.901s,5,1,0.2,25,250,0.1,false
9,20:07:07.618,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,20:07:08.456,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,20:07:14.747,target_decay,pistol,5.454s,7,1,0.143,25,350,0.071,false
12,20:07:18.244,target_decay,pistol,2.631s,4,1,0.25,25,200,0.125,false
13,20:07:19.055,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,20:07:27.991,target_decay,pistol,8.148s,9,1,0.111,25,450,0.056,false
15,20:07:30.547,target_decay,pistol,1.754s,3,1,0.333,25,150,0.167,false
16,20:07:33.193,target_decay,pistol,1.876s,2,1,0.5,25,100,0.25,false
17,20:07:36.706,target_decay,pistol,2.55s,4,1,0.25,25,200,0.125,false
18,20:07:37.564,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,20:07:38.373,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,20:07:40.115,target_decay,pistol,0.973s,2,1,0.5,25,100,0.25,false
21,20:07:40.976,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,20:07:43.631,target_decay,pistol,1.845s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,22,550.0,3250.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,39.508999
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,744.615417
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:06:45.320
Pause Count:,15
Pause Duration:,1180

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.870056
Resolution Scale,100.0
