Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:57:55.120,target_decay,pistol,5.025s,6,1,0.167,25,300,0.083,false
2,18:57:56.878,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,18:57:58.522,target_decay,pistol,0.724s,2,1,0.5,25,100,0.25,false
4,18:58:03.846,target_decay,pistol,4.503s,5,1,0.2,25,250,0.1,false
5,18:58:05.504,target_decay,pistol,0.733s,2,1,0.5,25,100,0.25,false
6,18:58:08.972,target_decay,pistol,2.569s,4,1,0.25,25,200,0.125,false
7,18:58:13.327,target_decay,pistol,3.584s,5,1,0.2,25,250,0.1,false
8,18:58:20.391,target_decay,pistol,6.235s,8,1,0.125,25,400,0.062,false
9,18:58:23.986,target_decay,pistol,2.84s,4,1,0.25,25,200,0.125,false
10,18:58:32.109,target_decay,pistol,7.09s,9,1,0.111,25,450,0.056,false
11,18:58:32.902,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,18:58:43.140,target_decay,pistol,9.435s,3,1,0.333,25,150,0.167,false
13,18:58:47.598,target_decay,pistol,3.538s,5,1,0.2,25,250,0.1,false
14,18:58:51.070,target_decay,pistol,2.517s,4,1,0.25,25,200,0.125,false
15,18:58:52.773,target_decay,pistol,0.79s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,15,375.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,49.583
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,362.903229
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,18:58:39.667
Pause Count:,8
Pause Duration:,81

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.084045
Resolution Scale,100.0
