Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:58:59.335,target_decay,pistol,1.741s,3,1,0.333,25,150,0.167,false
2,18:59:12.752,target_decay,pistol,12.611s,16,1,0.062,25,800,0.031,false
3,18:59:15.295,target_decay,pistol,1.712s,3,1,0.333,25,150,0.167,false
4,18:59:16.058,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,18:59:17.811,target_decay,pistol,0.64s,2,1,0.5,25,100,0.25,false
6,18:59:18.655,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,18:59:23.069,target_decay,pistol,3.71s,5,1,0.2,25,250,0.1,false
8,18:59:23.922,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,18:59:25.685,target_decay,pistol,1.009s,2,1,0.5,25,100,0.25,false
10,18:59:26.466,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,18:59:27.288,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,18:59:31.703,target_decay,pistol,3.568s,5,1,0.2,25,250,0.1,false
13,18:59:39.816,target_decay,pistol,7.275s,8,1,0.125,25,400,0.062,false
14,18:59:43.421,target_decay,pistol,2.448s,4,1,0.25,25,200,0.125,false
15,18:59:46.066,target_decay,pistol,1.687s,3,1,0.333,25,150,0.167,false
16,18:59:49.516,target_decay,pistol,2.724s,4,1,0.25,25,200,0.125,false
17,18:59:50.340,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,18:59:51.097,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,18:59:52.754,target_decay,pistol,0.848s,2,1,0.5,25,100,0.25,false
20,18:59:55.339,target_decay,pistol,1.69s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,20,500.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,41.662998
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,588.235291
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,18:58:57.013
Pause Count:,9
Pause Duration:,82

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.37561
Resolution Scale,100.0
