Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:01:09.993,target_decay,pistol,5.214s,7,1,0.143,25,350,0.071,false
2,19:01:11.678,target_decay,pistol,0.877s,2,1,0.5,25,100,0.25,false
3,19:01:13.348,target_decay,pistol,0.884s,2,1,0.5,25,100,0.25,false
4,19:01:20.504,target_decay,pistol,6.335s,8,1,0.125,25,400,0.062,false
5,19:01:21.292,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,19:01:23.053,target_decay,pistol,0.947s,2,1,0.5,25,100,0.25,false
7,19:01:30.187,target_decay,pistol,6.303s,8,1,0.125,25,400,0.062,false
8,19:01:35.513,target_decay,pistol,4.534s,6,1,0.167,25,300,0.083,false
9,19:01:39.079,target_decay,pistol,2.367s,4,1,0.25,25,200,0.125,false
10,19:01:42.551,target_decay,pistol,2.67s,4,1,0.25,25,200,0.125,false
11,19:01:43.394,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,19:01:44.192,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,19:01:44.964,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,19:01:53.909,target_decay,pistol,8.154s,9,1,0.111,25,450,0.056,false
15,19:01:58.318,target_decay,pistol,3.468s,5,1,0.2,25,250,0.1,false
16,19:02:01.824,target_decay,pistol,2.631s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,16,400.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,16
Deaths:,0
Fight Time:,44.383999
Avg TTK:,0
Damage Done:,400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,382.089539
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,19:01:04.152
Pause Count:,11
Pause Duration:,84

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.549408
Resolution Scale,100.0
