Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:31:17.270,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,20:31:18.937,target_decay,pistol,0.764s,2,1,0.5,25,100,0.25,false
3,20:31:19.734,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
4,20:31:22.242,target_decay,pistol,1.764s,3,1,0.333,25,150,0.167,false
5,20:31:24.840,target_decay,pistol,0.974s,2,1,0.5,25,100,0.25,false
6,20:31:28.352,target_decay,pistol,1.769s,3,1,0.333,25,150,0.167,false
7,20:31:29.146,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,20:31:30.860,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,20:31:32.575,target_decay,pistol,0.904s,2,1,0.5,25,100,0.25,false
10,20:31:35.191,target_decay,pistol,1.848s,3,1,0.333,25,150,0.167,false
11,20:31:39.530,target_decay,pistol,3.514s,5,1,0.2,25,250,0.1,false
12,20:31:40.299,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,20:31:41.924,target_decay,pistol,0.802s,2,1,0.5,25,100,0.25,false
14,20:31:44.575,target_decay,pistol,1.828s,3,1,0.333,25,150,0.167,false
15,20:31:46.219,target_decay,pistol,0.796s,2,1,0.5,25,100,0.25,false
16,20:31:48.814,target_decay,pistol,0.844s,2,1,0.5,25,100,0.25,false
17,20:31:55.000,target_decay,pistol,5.339s,7,1,0.143,25,350,0.071,false
18,20:32:10.299,target_decay,pistol,14.53s,17,1,0.059,25,850,0.029,false
19,20:32:11.907,target_decay,pistol,0.87s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,19,475.0,3250.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,36.547001
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,555.384644
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.0
Challenge Start:,20:31:16.462
Pause Count:,6
Pause Duration:,68

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,235.893051
Resolution Scale,100.0
