Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:33:30.286,target_decay,pistol,2.296s,3,1,0.333,25,150,0.167,false
2,20:33:32.933,target_decay,pistol,1.794s,4,1,0.25,25,200,0.125,false
3,20:33:36.483,target_decay,pistol,2.725s,4,1,0.25,25,200,0.125,false
4,20:33:39.242,target_decay,pistol,1.96s,2,1,0.5,25,100,0.25,false
5,20:33:41.045,target_decay,pistol,0.921s,2,1,0.5,25,100,0.25,false
6,20:33:42.684,target_decay,pistol,0.811s,2,1,0.5,25,100,0.25,false
7,20:33:45.183,target_decay,pistol,1.717s,3,1,0.333,25,150,0.167,false
8,20:33:48.641,target_decay,pistol,2.643s,4,1,0.25,25,200,0.125,false
9,20:33:53.956,target_decay,pistol,4.498s,6,1,0.167,25,300,0.083,false
10,20:33:54.767,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,20:33:58.330,target_decay,pistol,2.767s,5,1,0.2,25,250,0.1,false
12,20:33:59.168,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,20:34:01.704,target_decay,pistol,0.81s,2,1,0.5,25,100,0.25,false
14,20:34:02.521,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,20:34:06.223,target_decay,pistol,2.817s,4,1,0.25,25,200,0.125,false
16,20:34:07.866,target_decay,pistol,0.782s,2,1,0.5,25,100,0.25,false
17,20:34:10.444,target_decay,pistol,1.611s,3,1,0.333,25,150,0.167,false
18,20:34:15.672,target_decay,pistol,4.37s,6,1,0.167,25,300,0.083,false
19,20:34:17.484,target_decay,pistol,1.05s,2,1,0.5,25,100,0.25,false
20,20:34:18.363,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,20:34:22.828,target_decay,pistol,3.649s,5,1,0.2,25,250,0.1,false
22,20:34:24.595,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,20:34:25.458,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,23,575.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,37.221001
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,789.552246
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.0
Challenge Start:,20:33:27.298
Pause Count:,8
Pause Duration:,71

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,234.324783
Resolution Scale,100.0
