Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:34:34.882,target_decay,pistol,3.407s,4,1,0.25,25,200,0.125,false
2,20:34:36.557,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,20:34:37.416,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,20:34:39.081,target_decay,pistol,0.826s,2,1,0.5,25,100,0.25,false
5,20:34:39.815,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
6,20:34:45.129,target_decay,pistol,4.513s,6,1,0.167,25,300,0.083,false
7,20:34:49.590,target_decay,pistol,3.678s,5,1,0.2,25,250,0.1,false
8,20:34:51.291,target_decay,pistol,0.558s,2,1,0.5,25,100,0.25,false
9,20:34:52.119,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,20:34:53.772,target_decay,pistol,0.782s,2,1,0.5,25,100,0.25,false
11,20:34:54.539,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,20:35:00.764,target_decay,pistol,5.348s,7,1,0.143,25,350,0.071,false
13,20:35:02.518,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
14,20:35:03.287,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,20:35:04.079,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
16,20:35:04.905,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,20:35:05.686,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,20:35:06.476,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,20:35:13.615,target_decay,pistol,6.319s,7,1,0.143,25,350,0.071,false
20,20:35:28.004,target_decay,pistol,13.464s,15,1,0.067,25,750,0.033,false
21,20:35:30.574,target_decay,pistol,1.802s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,21,525.0,3200.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,40.700001
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,689.0625
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.0
Challenge Start:,20:34:30.855
Pause Count:,9
Pause Duration:,72

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,235.099731
Resolution Scale,100.0
