Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:43:33.147,target_decay,pistol,1.664s,3,1,0.333,25,150,0.167,false
2,23:43:42.159,target_decay,pistol,8.149s,10,1,0.1,25,500,0.05,false
3,23:43:52.841,target_decay,pistol,9.786s,12,1,0.083,25,600,0.042,false
4,23:43:53.661,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
5,23:43:56.294,target_decay,pistol,1.861s,3,1,0.333,25,150,0.167,false
6,23:43:57.145,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,23:43:57.939,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,23:43:58.805,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,23:44:03.273,target_decay,pistol,3.68s,5,1,0.2,25,250,0.1,false
10,23:44:05.911,target_decay,pistol,1.81s,3,1,0.333,25,150,0.167,false
11,23:44:07.618,target_decay,pistol,0.724s,2,1,0.5,25,100,0.25,false
12,23:44:12.144,target_decay,pistol,3.639s,4,1,0.25,25,200,0.125,false
13,23:44:12.982,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:44:15.663,target_decay,pistol,1.798s,3,1,0.333,25,150,0.167,false
15,23:44:17.249,target_decay,pistol,0.841s,2,1,0.5,25,100,0.25,false
16,23:44:21.738,target_decay,pistol,3.463s,5,1,0.2,25,250,0.1,false
17,23:44:23.402,target_decay,pistol,0.791s,2,1,0.5,25,100,0.25,false
18,23:44:26.007,target_decay,pistol,1.81s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,18,450.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,40.016998
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,490.909119
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,23:43:29.908
Pause Count:,9
Pause Duration:,110

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,160.611572
Resolution Scale,100.0
