Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:44:36.338,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
2,23:44:39.116,target_decay,pistol,1.956s,3,1,0.333,25,150,0.167,false
3,23:44:39.929,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:44:43.595,target_decay,pistol,2.898s,4,1,0.25,25,200,0.125,false
5,23:44:44.399,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,23:44:45.196,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,23:44:46.926,target_decay,pistol,0.893s,2,1,0.5,25,100,0.25,false
8,23:44:52.266,target_decay,pistol,4.361s,8,1,0.125,25,400,0.062,false
9,23:44:52.967,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,23:44:53.861,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,23:44:58.254,target_decay,pistol,3.565s,5,1,0.2,25,250,0.1,false
12,23:44:59.037,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,23:45:00.780,target_decay,pistol,0.696s,2,1,0.5,25,100,0.25,false
14,23:45:01.552,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
15,23:45:02.371,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,23:45:03.207,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,23:45:08.544,target_decay,pistol,4.545s,6,1,0.167,25,300,0.083,false
18,23:45:09.322,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,23:45:10.151,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,23:45:10.930,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,23:45:13.563,target_decay,pistol,1.844s,3,1,0.333,25,150,0.167,false
22,23:45:15.245,target_decay,pistol,0.658s,2,1,0.5,25,100,0.25,false
23,23:45:17.770,target_decay,pistol,1.678s,3,1,0.333,25,150,0.167,false
24,23:45:21.203,target_decay,pistol,2.612s,4,1,0.25,25,200,0.125,false
25,23:45:21.970,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,23:45:23.597,target_decay,pistol,0.841s,2,1,0.5,25,100,0.25,false
27,23:45:26.179,target_decay,pistol,1.865s,3,1,0.333,25,150,0.167,false
28,23:45:31.562,target_decay,pistol,4.61s,4,1,0.25,25,200,0.125,false
29,23:45:32.314,target_decay,pistol,0s,1,1,1,25,50,0.5,false
30,23:45:35.793,target_decay,pistol,2.732s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,30,750.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,30
Deaths:,0
Fight Time:,35.756001
Avg TTK:,0
Damage Done:,750.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1285.714355
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,23:44:35.800
Pause Count:,10
Pause Duration:,112

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,158.615097
Resolution Scale,100.0
