Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:45:46.758,target_decay,pistol,1.742s,3,1,0.333,25,150,0.167,false
2,23:45:47.587,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,23:45:48.431,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:45:49.236,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,23:45:50.070,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,23:45:50.787,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,23:45:57.906,target_decay,pistol,6.232s,6,1,0.167,25,300,0.083,false
8,23:46:01.508,target_decay,pistol,2.521s,3,1,0.333,25,150,0.167,false
9,23:46:03.252,target_decay,pistol,0.897s,2,1,0.5,25,100,0.25,false
10,23:46:04.030,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,23:46:04.797,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:46:05.643,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,23:46:06.409,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:46:07.255,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,23:46:18.982,target_decay,pistol,10.816s,13,1,0.077,25,650,0.038,false
16,23:46:24.342,target_decay,pistol,4.557s,6,1,0.167,25,300,0.083,false
17,23:46:27.052,target_decay,pistol,1.79s,3,1,0.333,25,150,0.167,false
18,23:46:30.561,target_decay,pistol,2.718s,4,1,0.25,25,200,0.125,false
19,23:46:32.283,target_decay,pistol,0.738s,2,1,0.5,25,100,0.25,false
20,23:46:32.995,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,23:46:36.540,target_decay,pistol,2.783s,4,1,0.25,25,200,0.125,false
22,23:46:41.002,target_decay,pistol,3.568s,5,1,0.2,25,250,0.1,false
23,23:46:42.695,target_decay,pistol,0.823s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,23,575.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,39.185001
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,801.515137
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,23:45:44.520
Pause Count:,11
Pause Duration:,113

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,160.253235
Resolution Scale,100.0
