Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:31:11.135,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,00:31:11.914,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,00:31:12.720,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,00:31:14.466,target_decay,pistol,0.945s,2,1,0.5,25,100,0.25,false
5,00:31:15.320,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,00:31:21.486,target_decay,pistol,5.265s,7,1,0.143,25,350,0.071,false
7,00:31:22.192,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,00:31:22.931,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,00:31:23.720,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,00:31:28.118,target_decay,pistol,3.502s,5,1,0.2,25,250,0.1,false
11,00:31:30.643,target_decay,pistol,1.709s,3,1,0.333,25,150,0.167,false
12,00:31:31.353,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
13,00:31:32.089,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,00:31:32.871,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,00:31:34.634,target_decay,pistol,0.836s,2,1,0.5,25,100,0.25,false
16,00:31:40.991,target_decay,pistol,5.413s,8,1,0.125,25,400,0.062,false
17,00:31:53.548,target_decay,pistol,11.475s,16,1,0.062,25,800,0.031,false
18,00:31:56.149,target_decay,pistol,1.672s,3,1,0.333,25,150,0.167,false
19,00:31:58.815,target_decay,pistol,1.864s,3,1,0.333,25,150,0.167,false
20,00:32:03.233,target_decay,pistol,3.482s,5,1,0.2,25,250,0.1,false
21,00:32:04.094,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,00:32:04.874,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
23,00:32:07.395,target_decay,pistol,1.686s,3,1,0.333,25,150,0.167,false
24,00:32:08.140,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,00:32:08.945,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,00:32:09.729,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,26,650.0,3600.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,26
Deaths:,0
Fight Time:,37.851002
Avg TTK:,0
Damage Done:,650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,938.888855
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,00:31:10.331
Pause Count:,9
Pause Duration:,900

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,294.76709
Resolution Scale,100.0
