Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:22:43.929,target_decay,pistol,3.255s,4,1,0.25,25,200,0.125,false
2,22:22:46.557,target_decay,pistol,2.507s,4,1,0.25,25,200,0.125,false
3,22:22:47.363,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,22:22:49.069,target_decay,pistol,0.895s,2,1,0.5,25,100,0.25,false
5,22:22:49.820,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,22:22:50.631,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,22:22:56.042,target_decay,pistol,4.629s,6,1,0.167,25,300,0.083,false
8,22:22:57.739,target_decay,pistol,0.969s,2,1,0.5,25,100,0.25,false
9,22:23:03.961,target_decay,pistol,5.438s,7,1,0.143,25,350,0.071,false
10,22:23:10.082,target_decay,pistol,5.138s,7,1,0.143,25,350,0.071,false
11,22:23:15.302,target_decay,pistol,4.461s,6,1,0.167,25,300,0.083,false
12,22:23:16.075,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,22:23:21.371,target_decay,pistol,4.469s,6,1,0.167,25,300,0.083,false
14,22:23:23.952,target_decay,pistol,1.784s,3,1,0.333,25,150,0.167,false
15,22:23:27.463,target_decay,pistol,2.743s,4,1,0.25,25,200,0.125,false
16,22:23:29.140,target_decay,pistol,0.901s,2,1,0.5,25,100,0.25,false
17,22:23:29.917,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,22:23:30.636,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,22:23:31.446,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,22:23:35.887,target_decay,pistol,3.405s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,20,500.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,40.594002
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,579.710144
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,22:22:39.987
Pause Count:,7
Pause Duration:,25

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.34967
Resolution Scale,100.0
