Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:24:52.744,target_decay,pistol,5.209s,6,1,0.167,25,300,0.083,false
2,22:24:56.364,target_decay,pistol,2.695s,4,1,0.25,25,200,0.125,false
3,22:24:58.067,target_decay,pistol,0.844s,2,1,0.5,25,100,0.25,false
4,22:24:58.792,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,22:25:00.477,target_decay,pistol,0.817s,2,1,0.5,25,100,0.25,false
6,22:25:04.006,target_decay,pistol,2.81s,4,1,0.25,25,200,0.125,false
7,22:25:07.473,target_decay,pistol,2.702s,4,1,0.25,25,200,0.125,false
8,22:25:10.979,target_decay,pistol,2.667s,4,1,0.25,25,200,0.125,false
9,22:25:11.751,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,22:25:16.119,target_decay,pistol,3.51s,6,1,0.167,25,300,0.083,false
11,22:25:18.610,target_decay,pistol,1.644s,3,1,0.333,25,150,0.167,false
12,22:25:19.426,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,22:25:21.148,target_decay,pistol,0.934s,2,1,0.5,25,100,0.25,false
14,22:25:31.855,target_decay,pistol,9.905s,12,1,0.083,25,600,0.042,false
15,22:25:32.595,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,22:25:41.568,target_decay,pistol,8.215s,10,1,0.1,25,500,0.05,false
17,22:25:45.028,target_decay,pistol,2.682s,4,1,0.25,25,200,0.125,false
18,22:25:45.785,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,18,450.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,44.633999
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,469.565216
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,22:24:46.912
Pause Count:,9
Pause Duration:,27

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,291.965424
Resolution Scale,100.0
