Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:25:50.847,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,22:25:53.434,target_decay,pistol,1.746s,3,1,0.333,25,150,0.167,false
3,22:25:55.310,target_decay,pistol,1.012s,2,1,0.5,25,100,0.25,false
4,22:25:57.913,target_decay,pistol,1.614s,2,1,0.5,25,100,0.25,false
5,22:25:59.577,target_decay,pistol,0.682s,2,1,0.5,25,100,0.25,false
6,22:26:03.079,target_decay,pistol,2.564s,4,1,0.25,25,200,0.125,false
7,22:26:04.910,target_decay,pistol,0.972s,2,1,0.5,25,100,0.25,false
8,22:26:07.482,target_decay,pistol,1.731s,3,1,0.333,25,150,0.167,false
9,22:26:08.257,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,22:26:09.102,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,22:26:12.625,target_decay,pistol,2.696s,4,1,0.25,25,200,0.125,false
12,22:26:13.440,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,22:26:17.105,target_decay,pistol,2.808s,4,1,0.25,25,200,0.125,false
14,22:26:27.820,target_decay,pistol,9.925s,12,1,0.083,25,600,0.042,false
15,22:26:30.391,target_decay,pistol,1.587s,3,1,0.333,25,150,0.167,false
16,22:26:31.234,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
17,22:26:32.114,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,22:26:37.461,target_decay,pistol,4.472s,6,1,0.167,25,300,0.083,false
19,22:26:42.933,target_decay,pistol,4.701s,6,1,0.167,25,300,0.083,false
20,22:26:43.783,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,22:26:45.486,target_decay,pistol,0.812s,2,1,0.5,25,100,0.25,false
22,22:26:47.119,target_decay,pistol,0.882s,2,1,0.5,25,100,0.25,false
23,22:26:49.652,target_decay,pistol,1.585s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,23,575.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,39.790001
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,789.552246
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,22:25:49.863
Pause Count:,10
Pause Duration:,28

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.010254
Resolution Scale,100.0
