Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:11:39.592,target_decay,pistol,6.074s,7,1,0.143,25,350,0.071,false
2,21:11:43.960,target_decay,pistol,3.569s,5,1,0.2,25,250,0.1,false
3,21:11:48.369,target_decay,pistol,3.652s,5,1,0.2,25,250,0.1,false
4,21:11:51.163,target_decay,pistol,2.038s,4,1,0.25,25,200,0.125,false
5,21:11:54.702,target_decay,pistol,2.66s,4,1,0.25,25,200,0.125,false
6,21:11:58.232,target_decay,pistol,2.769s,4,1,0.25,25,200,0.125,false
7,21:11:59.859,target_decay,pistol,0.863s,2,1,0.5,25,100,0.25,false
8,21:12:01.552,target_decay,pistol,0.854s,2,1,0.5,25,100,0.25,false
9,21:12:02.331,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,21:12:03.061,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,21:12:03.805,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,21:12:04.597,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,21:12:06.244,target_decay,pistol,0.892s,2,1,0.5,25,100,0.25,false
14,21:12:13.279,target_decay,pistol,6.222s,8,1,0.125,25,400,0.062,false
15,21:12:16.816,target_decay,pistol,2.775s,4,1,0.25,25,200,0.125,false
16,21:12:17.579,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,21:12:20.162,target_decay,pistol,1.788s,3,1,0.333,25,150,0.167,false
18,21:12:23.551,target_decay,pistol,2.665s,4,1,0.25,25,200,0.125,false
19,21:12:24.303,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,21:12:27.788,target_decay,pistol,2.736s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,20,500.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,39.556999
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,579.710144
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,21:11:32.825
Pause Count:,6
Pause Duration:,47

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,294.148621
Resolution Scale,100.0
